Created as New Dataset,Sample 849 By YargerLab Date Saturday, April 18 2026
cm-1,A
4000.00,0.0223
3999.00,0.0224
3998.00,0.0224
3997.00,0.0224
3996.00,0.0224
3995.00,0.0225
3994.00,0.0226
3993.00,0.0227
3992.00,0.0228
3991.00,0.0229
3990.00,0.0230
3989.00,0.0230
3988.00,0.0230
3987.00,0.0230
3986.00,0.0230
3985.00,0.0229
3984.00,0.0228
3983.00,0.0228
3982.00,0.0227
3981.00,0.0226
3980.00,0.0226
3979.00,0.0226
3978.00,0.0225
3977.00,0.0225
3976.00,0.0225
3975.00,0.0225
3974.00,0.0224
3973.00,0.0224
3972.00,0.0223
3971.00,0.0223
3970.00,0.0223
3969.00,0.0223
3968.00,0.0222
3967.00,0.0222
3966.00,0.0222
3965.00,0.0222
3964.00,0.0222
3963.00,0.0222
3962.00,0.0222
3961.00,0.0222
3960.00,0.0222
3959.00,0.0223
3958.00,0.0223
3957.00,0.0223
3956.00,0.0223
3955.00,0.0222
3954.00,0.0222
3953.00,0.0222
3952.00,0.0222
3951.00,0.0222
3950.00,0.0222
3949.00,0.0222
3948.00,0.0222
3947.00,0.0221
3946.00,0.0221
3945.00,0.0221
3944.00,0.0221
3943.00,0.0222
3942.00,0.0222
3941.00,0.0222
3940.00,0.0222
3939.00,0.0222
3938.00,0.0222
3937.00,0.0222
3936.00,0.0221
3935.00,0.0221
3934.00,0.0221
3933.00,0.0221
3932.00,0.0221
3931.00,0.0221
3930.00,0.0220
3929.00,0.0220
3928.00,0.0220
3927.00,0.0220
3926.00,0.0220
3925.00,0.0220
3924.00,0.0220
3923.00,0.0220
3922.00,0.0219
3921.00,0.0219
3920.00,0.0219
3919.00,0.0219
3918.00,0.0219
3917.00,0.0219
3916.00,0.0219
3915.00,0.0219
3914.00,0.0219
3913.00,0.0218
3912.00,0.0218
3911.00,0.0218
3910.00,0.0218
3909.00,0.0218
3908.00,0.0218
3907.00,0.0219
3906.00,0.0219
3905.00,0.0219
3904.00,0.0220
3903.00,0.0220
3902.00,0.0220
3901.00,0.0220
3900.00,0.0220
3899.00,0.0220
3898.00,0.0219
3897.00,0.0219
3896.00,0.0218
3895.00,0.0218
3894.00,0.0218
3893.00,0.0218
3892.00,0.0219
3891.00,0.0218
3890.00,0.0218
3889.00,0.0218
3888.00,0.0218
3887.00,0.0218
3886.00,0.0218
3885.00,0.0217
3884.00,0.0217
3883.00,0.0217
3882.00,0.0218
3881.00,0.0218
3880.00,0.0218
3879.00,0.0218
3878.00,0.0217
3877.00,0.0217
3876.00,0.0217
3875.00,0.0217
3874.00,0.0216
3873.00,0.0216
3872.00,0.0216
3871.00,0.0217
3870.00,0.0217
3869.00,0.0217
3868.00,0.0217
3867.00,0.0217
3866.00,0.0217
3865.00,0.0217
3864.00,0.0217
3863.00,0.0216
3862.00,0.0216
3861.00,0.0216
3860.00,0.0216
3859.00,0.0216
3858.00,0.0216
3857.00,0.0215
3856.00,0.0215
3855.00,0.0216
3854.00,0.0216
3853.00,0.0217
3852.00,0.0218
3851.00,0.0219
3850.00,0.0220
3849.00,0.0220
3848.00,0.0220
3847.00,0.0220
3846.00,0.0219
3845.00,0.0219
3844.00,0.0218
3843.00,0.0218
3842.00,0.0217
3841.00,0.0217
3840.00,0.0216
3839.00,0.0216
3838.00,0.0216
3837.00,0.0216
3836.00,0.0216
3835.00,0.0216
3834.00,0.0216
3833.00,0.0216
3832.00,0.0216
3831.00,0.0216
3830.00,0.0216
3829.00,0.0216
3828.00,0.0216
3827.00,0.0216
3826.00,0.0215
3825.00,0.0215
3824.00,0.0214
3823.00,0.0214
3822.00,0.0214
3821.00,0.0214
3820.00,0.0214
3819.00,0.0214
3818.00,0.0214
3817.00,0.0215
3816.00,0.0215
3815.00,0.0214
3814.00,0.0214
3813.00,0.0214
3812.00,0.0214
3811.00,0.0213
3810.00,0.0213
3809.00,0.0213
3808.00,0.0213
3807.00,0.0214
3806.00,0.0214
3805.00,0.0214
3804.00,0.0214
3803.00,0.0215
3802.00,0.0215
3801.00,0.0215
3800.00,0.0215
3799.00,0.0215
3798.00,0.0216
3797.00,0.0216
3796.00,0.0216
3795.00,0.0215
3794.00,0.0215
3793.00,0.0214
3792.00,0.0214
3791.00,0.0214
3790.00,0.0213
3789.00,0.0213
3788.00,0.0213
3787.00,0.0213
3786.00,0.0213
3785.00,0.0213
3784.00,0.0213
3783.00,0.0213
3782.00,0.0212
3781.00,0.0212
3780.00,0.0212
3779.00,0.0212
3778.00,0.0212
3777.00,0.0211
3776.00,0.0211
3775.00,0.0211
3774.00,0.0210
3773.00,0.0210
3772.00,0.0210
3771.00,0.0210
3770.00,0.0210
3769.00,0.0210
3768.00,0.0210
3767.00,0.0210
3766.00,0.0210
3765.00,0.0210
3764.00,0.0209
3763.00,0.0209
3762.00,0.0208
3761.00,0.0208
3760.00,0.0208
3759.00,0.0208
3758.00,0.0208
3757.00,0.0208
3756.00,0.0208
3755.00,0.0207
3754.00,0.0207
3753.00,0.0207
3752.00,0.0207
3751.00,0.0207
3750.00,0.0207
3749.00,0.0207
3748.00,0.0207
3747.00,0.0207
3746.00,0.0207
3745.00,0.0207
3744.00,0.0207
3743.00,0.0207
3742.00,0.0206
3741.00,0.0206
3740.00,0.0206
3739.00,0.0206
3738.00,0.0206
3737.00,0.0206
3736.00,0.0206
3735.00,0.0206
3734.00,0.0206
3733.00,0.0206
3732.00,0.0205
3731.00,0.0205
3730.00,0.0204
3729.00,0.0204
3728.00,0.0204
3727.00,0.0205
3726.00,0.0205
3725.00,0.0205
3724.00,0.0205
3723.00,0.0204
3722.00,0.0204
3721.00,0.0204
3720.00,0.0203
3719.00,0.0203
3718.00,0.0204
3717.00,0.0204
3716.00,0.0204
3715.00,0.0204
3714.00,0.0204
3713.00,0.0204
3712.00,0.0203
3711.00,0.0203
3710.00,0.0203
3709.00,0.0203
3708.00,0.0203
3707.00,0.0203
3706.00,0.0203
3705.00,0.0202
3704.00,0.0202
3703.00,0.0202
3702.00,0.0201
3701.00,0.0201
3700.00,0.0201
3699.00,0.0201
3698.00,0.0201
3697.00,0.0201
3696.00,0.0201
3695.00,0.0201
3694.00,0.0201
3693.00,0.0200
3692.00,0.0200
3691.00,0.0200
3690.00,0.0200
3689.00,0.0200
3688.00,0.0200
3687.00,0.0200
3686.00,0.0200
3685.00,0.0200
3684.00,0.0201
3683.00,0.0201
3682.00,0.0201
3681.00,0.0200
3680.00,0.0200
3679.00,0.0199
3678.00,0.0199
3677.00,0.0199
3676.00,0.0199
3675.00,0.0200
3674.00,0.0200
3673.00,0.0200
3672.00,0.0201
3671.00,0.0201
3670.00,0.0201
3669.00,0.0200
3668.00,0.0200
3667.00,0.0200
3666.00,0.0200
3665.00,0.0200
3664.00,0.0199
3663.00,0.0199
3662.00,0.0199
3661.00,0.0199
3660.00,0.0199
3659.00,0.0199
3658.00,0.0200
3657.00,0.0200
3656.00,0.0200
3655.00,0.0200
3654.00,0.0201
3653.00,0.0201
3652.00,0.0202
3651.00,0.0202
3650.00,0.0202
3649.00,0.0202
3648.00,0.0203
3647.00,0.0203
3646.00,0.0203
3645.00,0.0202
3644.00,0.0202
3643.00,0.0202
3642.00,0.0201
3641.00,0.0201
3640.00,0.0200
3639.00,0.0200
3638.00,0.0200
3637.00,0.0200
3636.00,0.0200
3635.00,0.0200
3634.00,0.0201
3633.00,0.0201
3632.00,0.0201
3631.00,0.0201
3630.00,0.0201
3629.00,0.0201
3628.00,0.0201
3627.00,0.0201
3626.00,0.0201
3625.00,0.0201
3624.00,0.0201
3623.00,0.0201
3622.00,0.0200
3621.00,0.0200
3620.00,0.0200
3619.00,0.0200
3618.00,0.0200
3617.00,0.0200
3616.00,0.0200
3615.00,0.0200
3614.00,0.0200
3613.00,0.0201
3612.00,0.0201
3611.00,0.0201
3610.00,0.0200
3609.00,0.0200
3608.00,0.0200
3607.00,0.0200
3606.00,0.0199
3605.00,0.0199
3604.00,0.0198
3603.00,0.0198
3602.00,0.0198
3601.00,0.0198
3600.00,0.0198
3599.00,0.0198
3598.00,0.0198
3597.00,0.0198
3596.00,0.0198
3595.00,0.0198
3594.00,0.0198
3593.00,0.0198
3592.00,0.0198
3591.00,0.0198
3590.00,0.0198
3589.00,0.0198
3588.00,0.0198
3587.00,0.0198
