Created as New Dataset,Sample 843 By YargerLab Date Saturday, April 18 2026
cm-1,A
4000.00,0.0159
3999.00,0.0159
3998.00,0.0159
3997.00,0.0159
3996.00,0.0159
3995.00,0.0159
3994.00,0.0159
3993.00,0.0159
3992.00,0.0159
3991.00,0.0160
3990.00,0.0160
3989.00,0.0160
3988.00,0.0160
3987.00,0.0160
3986.00,0.0159
3985.00,0.0159
3984.00,0.0159
3983.00,0.0159
3982.00,0.0159
3981.00,0.0159
3980.00,0.0159
3979.00,0.0159
3978.00,0.0159
3977.00,0.0158
3976.00,0.0158
3975.00,0.0158
3974.00,0.0158
3973.00,0.0158
3972.00,0.0158
3971.00,0.0158
3970.00,0.0158
3969.00,0.0158
3968.00,0.0158
3967.00,0.0158
3966.00,0.0157
3965.00,0.0157
3964.00,0.0157
3963.00,0.0157
3962.00,0.0157
3961.00,0.0157
3960.00,0.0157
3959.00,0.0157
3958.00,0.0156
3957.00,0.0156
3956.00,0.0156
3955.00,0.0156
3954.00,0.0156
3953.00,0.0156
3952.00,0.0156
3951.00,0.0156
3950.00,0.0156
3949.00,0.0156
3948.00,0.0156
3947.00,0.0156
3946.00,0.0157
3945.00,0.0157
3944.00,0.0157
3943.00,0.0157
3942.00,0.0157
3941.00,0.0156
3940.00,0.0156
3939.00,0.0156
3938.00,0.0156
3937.00,0.0156
3936.00,0.0157
3935.00,0.0157
3934.00,0.0156
3933.00,0.0156
3932.00,0.0156
3931.00,0.0156
3930.00,0.0156
3929.00,0.0156
3928.00,0.0156
3927.00,0.0156
3926.00,0.0156
3925.00,0.0156
3924.00,0.0156
3923.00,0.0156
3922.00,0.0155
3921.00,0.0155
3920.00,0.0155
3919.00,0.0155
3918.00,0.0155
3917.00,0.0155
3916.00,0.0155
3915.00,0.0155
3914.00,0.0155
3913.00,0.0155
3912.00,0.0155
3911.00,0.0155
3910.00,0.0155
3909.00,0.0155
3908.00,0.0155
3907.00,0.0154
3906.00,0.0154
3905.00,0.0154
3904.00,0.0154
3903.00,0.0154
3902.00,0.0154
3901.00,0.0154
3900.00,0.0153
3899.00,0.0153
3898.00,0.0153
3897.00,0.0153
3896.00,0.0154
3895.00,0.0154
3894.00,0.0154
3893.00,0.0154
3892.00,0.0154
3891.00,0.0153
3890.00,0.0153
3889.00,0.0153
3888.00,0.0153
3887.00,0.0153
3886.00,0.0153
3885.00,0.0153
3884.00,0.0152
3883.00,0.0152
3882.00,0.0152
3881.00,0.0152
3880.00,0.0152
3879.00,0.0152
3878.00,0.0152
3877.00,0.0152
3876.00,0.0152
3875.00,0.0152
3874.00,0.0151
3873.00,0.0151
3872.00,0.0151
3871.00,0.0151
3870.00,0.0151
3869.00,0.0151
3868.00,0.0151
3867.00,0.0151
3866.00,0.0151
3865.00,0.0151
3864.00,0.0150
3863.00,0.0150
3862.00,0.0150
3861.00,0.0150
3860.00,0.0150
3859.00,0.0150
3858.00,0.0150
3857.00,0.0149
3856.00,0.0148
3855.00,0.0148
3854.00,0.0148
3853.00,0.0149
3852.00,0.0149
3851.00,0.0150
3850.00,0.0150
3849.00,0.0150
3848.00,0.0150
3847.00,0.0150
3846.00,0.0150
3845.00,0.0149
3844.00,0.0149
3843.00,0.0149
3842.00,0.0149
3841.00,0.0149
3840.00,0.0148
3839.00,0.0148
3838.00,0.0148
3837.00,0.0148
3836.00,0.0148
3835.00,0.0148
3834.00,0.0148
3833.00,0.0148
3832.00,0.0148
3831.00,0.0148
3830.00,0.0148
3829.00,0.0148
3828.00,0.0148
3827.00,0.0148
3826.00,0.0148
3825.00,0.0148
3824.00,0.0147
3823.00,0.0147
3822.00,0.0146
3821.00,0.0146
3820.00,0.0147
3819.00,0.0147
3818.00,0.0147
3817.00,0.0147
3816.00,0.0148
3815.00,0.0148
3814.00,0.0148
3813.00,0.0148
3812.00,0.0148
3811.00,0.0148
3810.00,0.0148
3809.00,0.0147
3808.00,0.0147
3807.00,0.0147
3806.00,0.0146
3805.00,0.0146
3804.00,0.0146
3803.00,0.0146
3802.00,0.0146
3801.00,0.0146
3800.00,0.0146
3799.00,0.0147
3798.00,0.0147
3797.00,0.0147
3796.00,0.0147
3795.00,0.0147
3794.00,0.0147
3793.00,0.0146
3792.00,0.0146
3791.00,0.0147
3790.00,0.0147
3789.00,0.0147
3788.00,0.0147
3787.00,0.0147
3786.00,0.0147
3785.00,0.0146
3784.00,0.0146
3783.00,0.0146
3782.00,0.0146
3781.00,0.0145
3780.00,0.0145
3779.00,0.0145
3778.00,0.0145
3777.00,0.0145
3776.00,0.0145
3775.00,0.0144
3774.00,0.0144
3773.00,0.0144
3772.00,0.0144
3771.00,0.0144
3770.00,0.0143
3769.00,0.0143
3768.00,0.0143
3767.00,0.0143
3766.00,0.0143
3765.00,0.0143
3764.00,0.0143
3763.00,0.0143
3762.00,0.0143
3761.00,0.0143
3760.00,0.0143
3759.00,0.0142
3758.00,0.0142
3757.00,0.0142
3756.00,0.0141
3755.00,0.0141
3754.00,0.0141
3753.00,0.0141
3752.00,0.0141
3751.00,0.0141
3750.00,0.0141
3749.00,0.0141
3748.00,0.0141
3747.00,0.0141
3746.00,0.0141
3745.00,0.0140
3744.00,0.0140
3743.00,0.0140
3742.00,0.0140
3741.00,0.0140
3740.00,0.0139
3739.00,0.0139
3738.00,0.0139
3737.00,0.0139
3736.00,0.0139
3735.00,0.0138
3734.00,0.0138
3733.00,0.0137
3732.00,0.0137
3731.00,0.0137
3730.00,0.0137
3729.00,0.0138
3728.00,0.0138
3727.00,0.0138
3726.00,0.0137
3725.00,0.0137
3724.00,0.0137
3723.00,0.0136
3722.00,0.0136
3721.00,0.0136
3720.00,0.0136
3719.00,0.0136
3718.00,0.0136
3717.00,0.0136
3716.00,0.0136
3715.00,0.0136
3714.00,0.0136
3713.00,0.0136
3712.00,0.0136
3711.00,0.0136
3710.00,0.0135
3709.00,0.0135
3708.00,0.0135
3707.00,0.0135
3706.00,0.0135
3705.00,0.0135
3704.00,0.0134
3703.00,0.0134
3702.00,0.0133
3701.00,0.0133
3700.00,0.0133
3699.00,0.0133
3698.00,0.0134
3697.00,0.0134
3696.00,0.0134
3695.00,0.0134
3694.00,0.0133
3693.00,0.0133
3692.00,0.0133
3691.00,0.0132
3690.00,0.0132
3689.00,0.0132
3688.00,0.0132
3687.00,0.0132
3686.00,0.0133
3685.00,0.0133
3684.00,0.0133
3683.00,0.0132
3682.00,0.0132
3681.00,0.0132
3680.00,0.0131
3679.00,0.0131
3678.00,0.0130
3677.00,0.0130
3676.00,0.0130
3675.00,0.0130
3674.00,0.0130
3673.00,0.0130
3672.00,0.0130
3671.00,0.0130
3670.00,0.0130
3669.00,0.0130
3668.00,0.0130
3667.00,0.0130
3666.00,0.0130
3665.00,0.0130
3664.00,0.0130
3663.00,0.0130
3662.00,0.0130
3661.00,0.0130
3660.00,0.0130
3659.00,0.0130
3658.00,0.0130
3657.00,0.0130
3656.00,0.0130
3655.00,0.0130
3654.00,0.0130
3653.00,0.0130
3652.00,0.0130
3651.00,0.0130
3650.00,0.0131
3649.00,0.0131
3648.00,0.0131
3647.00,0.0131
3646.00,0.0131
3645.00,0.0132
3644.00,0.0132
3643.00,0.0132
3642.00,0.0132
3641.00,0.0132
3640.00,0.0131
3639.00,0.0131
3638.00,0.0131
3637.00,0.0131
3636.00,0.0130
3635.00,0.0130
3634.00,0.0130
3633.00,0.0130
3632.00,0.0129
3631.00,0.0129
3630.00,0.0129
3629.00,0.0129
3628.00,0.0129
3627.00,0.0129
3626.00,0.0129
3625.00,0.0129
3624.00,0.0129
3623.00,0.0129
3622.00,0.0129
3621.00,0.0129
3620.00,0.0129
3619.00,0.0129
3618.00,0.0129
3617.00,0.0129
3616.00,0.0129
3615.00,0.0130
3614.00,0.0129
3613.00,0.0129
3612.00,0.0129
3611.00,0.0128
3610.00,0.0128
3609.00,0.0128
3608.00,0.0128
3607.00,0.0128
3606.00,0.0127
3605.00,0.0127
3604.00,0.0127
3603.00,0.0128
3602.00,0.0128
3601.00,0.0128
3600.00,0.0128
3599.00,0.0127
3598.00,0.0127
3597.00,0.0127
3596.00,0.0127
3595.00,0.0127
3594.00,0.0127
3593.00,0.0127
3592.00,0.0126
3591.00,0.0126
3590.00,0.0127
3589.00,0.0127
3588.00,0.0127
3587.00,0.0126
3586.00,0.0126
3585.00,0.0126
3584.00,0.0126
3583.00,0.0126
3582.00,0.0127
3581.00,0.0127
3580.00,0.0127
3579.00,0.0127
3578.00,0.0127
3577.00,0.0126
3576.00,0.0126
3575.00,0.0126
3574.00,0.0126
3573.00,0.0126
3572.00,0.0126
3571.00,0.0126
3570.00,0.0127
3569.00,0.0127
3568.00,0.0127
3567.00,0.0127
3566.00,0.0126
3565.00,0.0126
3564.00,0.0126
3563.00,0.0126
3562.00,0.0126
3561.00,0.0126
3560.00,0.0126
3559.00,0.0126
3558.00,0.0126
3557.00,0.0127
3556.00,0.0127
3555.00,0.0127
3554.00,0.0127
3553.00,0.0127
3552.00,0.0126
3551.00,0.0126
3550.00,0.0126
3549.00,0.0126
3548.00,0.0126
3547.00,0.0126
3546.00,0.0126
3545.00,0.0126
3544.00,0.0126
3543.00,0.0126
3542.00,0.0127
3541.00,0.0127
3540.00,0.0127
3539.00,0.0127
3538.00,0.0127
3537.00,0.0127
3536.00,0.0127
3535.00,0.0127
3534.00,0.0127
3533.00,0.0127
3532.00,0.0127
3531.00,0.0127
3530.00,0.0127
3529.00,0.0128
3528.00,0.0128
3527.00,0.0128
3526.00,0.0128
3525.00,0.0127
3524.00,0.0127
3523.00,0.0127
3522.00,0.0127
3521.00,0.0128
3520.00,0.0128
3519.00,0.0128
3518.00,0.0128
3517.00,0.0128
3516.00,0.0128
3515.00,0.0128
3514.00,0.0128
3513.00,0.0128
3512.00,0.0129
3511.00,0.0129
3510.00,0.0129
3509.00,0.0129
3508.00,0.0129
3507.00,0.0129
3506.00,0.0129
3505.00,0.0129
3504.00,0.0128
3503.00,0.0128
3502.00,0.0128
3501.00,0.0129
3500.00,0.0129
3499.00,0.0129
3498.00,0.0129
3497.00,0.0129
3496.00,0.0129
3495.00,0.0129
3494.00,0.0129
3493.00,0.0129
3492.00,0.0129
3491.00,0.0129
3490.00,0.0129
3489.00,0.0129
3488.00,0.0129
3487.00,0.0129
3486.00,0.0129
3485.00,0.0129
3484.00,0.0128
3483.00,0.0128
3482.00,0.0128
3481.00,0.0127
3480.00,0.0127
3479.00,0.0128
3478.00,0.0128
3477.00,0.0128
3476.00,0.0128
3475.00,0.0128
3474.00,0.0128
3473.00,0.0128
3472.00,0.0127
3471.00,0.0127
3470.00,0.0127
3469.00,0.0127
3468.00,0.0127
3467.00,0.0128
3466.00,0.0128
3465.00,0.0129
3464.00,0.0129
3463.00,0.0129
3462.00,0.0129
3461.00,0.0129
3460.00,0.0129
3459.00,0.0129
3458.00,0.0130
3457.00,0.0130
3456.00,0.0130
3455.00,0.0131
3454.00,0.0131
3453.00,0.0131
3452.00,0.0132
3451.00,0.0132
3450.00,0.0132
3449.00,0.0132
3448.00,0.0132
3447.00,0.0133
3446.00,0.0133
3445.00,0.0133
3444.00,0.0134
3443.00,0.0134
3442.00,0.0133
3441.00,0.0133
3440.00,0.0133
3439.00,0.0133
3438.00,0.0133
3437.00,0.0133
3436.00,0.0133
3435.00,0.0133
3434.00,0.0134
3433.00,0.0135
3432.00,0.0135
3431.00,0.0136
3430.00,0.0136
3429.00,0.0137
3428.00,0.0138
3427.00,0.0139
3426.00,0.0139
3425.00,0.0140
3424.00,0.0141
3423.00,0.0141
3422.00,0.0141
3421.00,0.0142
3420.00,0.0142
3419.00,0.0143
3418.00,0.0143
3417.00,0.0143
3416.00,0.0143
3415.00,0.0143
3414.00,0.0143
3413.00,0.0143
3412.00,0.0144
3411.00,0.0144
3410.00,0.0145
3409.00,0.0146
3408.00,0.0147
3407.00,0.0148
3406.00,0.0148
3405.00,0.0148
3404.00,0.0147
3403.00,0.0147
3402.00,0.0146
3401.00,0.0146
3400.00,0.0148
3399.00,0.0150
3398.00,0.0152
3397.00,0.0153
3396.00,0.0154
3395.00,0.0154
3394.00,0.0154
3393.00,0.0154
3392.00,0.0154
3391.00,0.0156
3390.00,0.0158
3389.00,0.0160
3388.00,0.0162
3387.00,0.0163
3386.00,0.0164
3385.00,0.0165
3384.00,0.0166
3383.00,0.0166
3382.00,0.0166
3381.00,0.0167
3380.00,0.0168
3379.00,0.0168
3378.00,0.0169
3377.00,0.0170
3376.00,0.0171
3375.00,0.0172
3374.00,0.0172
3373.00,0.0172
3372.00,0.0170
3371.00,0.0169
3370.00,0.0168
3369.00,0.0169
3368.00,0.0170
3367.00,0.0172
3366.00,0.0175
3365.00,0.0177
3364.00,0.0179
3363.00,0.0179
3362.00,0.0180
3361.00,0.0181
3360.00,0.0182
3359.00,0.0184
3358.00,0.0185
3357.00,0.0187
3356.00,0.0187
3355.00,0.0188
3354.00,0.0187
3353.00,0.0186
3352.00,0.0185
3351.00,0.0185
3350.00,0.0187
3349.00,0.0190
3348.00,0.0192
3347.00,0.0194
3346.00,0.0194
3345.00,0.0194
3344.00,0.0194
3343.00,0.0195
3342.00,0.0195
3341.00,0.0195
3340.00,0.0196
3339.00,0.0196
3338.00,0.0198
3337.00,0.0200
3336.00,0.0202
3335.00,0.0204
3334.00,0.0206
3333.00,0.0207
3332.00,0.0208
3331.00,0.0209
3330.00,0.0210
3329.00,0.0210
3328.00,0.0210
3327.00,0.0210
3326.00,0.0211
3325.00,0.0213
3324.00,0.0215
3323.00,0.0217
3322.00,0.0219
3321.00,0.0221
3320.00,0.0223
3319.00,0.0224
3318.00,0.0225
3317.00,0.0227
3316.00,0.0228
3315.00,0.0229
3314.00,0.0230
3313.00,0.0230
3312.00,0.0230
3311.00,0.0229
3310.00,0.0228
3309.00,0.0227
3308.00,0.0226
3307.00,0.0226
3306.00,0.0228
3305.00,0.0231
3304.00,0.0235
3303.00,0.0239
3302.00,0.0242
3301.00,0.0245
3300.00,0.0246
3299.00,0.0247
3298.00,0.0247
3297.00,0.0247
3296.00,0.0248
3295.00,0.0248
3294.00,0.0249
3293.00,0.0251
3292.00,0.0253
3291.00,0.0256
3290.00,0.0260
3289.00,0.0263
3288.00,0.0265
3287.00,0.0267
3286.00,0.0268
3285.00,0.0270
3284.00,0.0272
3283.00,0.0274
3282.00,0.0276
3281.00,0.0278
3280.00,0.0279
3279.00,0.0280
3278.00,0.0282
3277.00,0.0283
3276.00,0.0284
3275.00,0.0285
3274.00,0.0285
3273.00,0.0286
3272.00,0.0287
3271.00,0.0289
3270.00,0.0292
3269.00,0.0297
3268.00,0.0301
3267.00,0.0304
3266.00,0.0307
3265.00,0.0309
3264.00,0.0311
3263.00,0.0313
3262.00,0.0315
3261.00,0.0317
3260.00,0.0318
3259.00,0.0319
3258.00,0.0320
3257.00,0.0321
3256.00,0.0323
3255.00,0.0325
3254.00,0.0327
3253.00,0.0329
3252.00,0.0331
3251.00,0.0332
3250.00,0.0333
