Created as New Dataset,Sample 858 By YargerLab Date Saturday, April 18 2026
cm-1,A
4000.00,0.0051
3999.00,0.0051
3998.00,0.0051
3997.00,0.0051
3996.00,0.0051
3995.00,0.0050
3994.00,0.0050
3993.00,0.0050
3992.00,0.0050
3991.00,0.0050
3990.00,0.0051
3989.00,0.0051
3988.00,0.0050
3987.00,0.0050
3986.00,0.0050
3985.00,0.0050
3984.00,0.0050
3983.00,0.0050
3982.00,0.0050
3981.00,0.0050
3980.00,0.0050
3979.00,0.0050
3978.00,0.0050
3977.00,0.0050
3976.00,0.0050
3975.00,0.0050
3974.00,0.0050
3973.00,0.0050
3972.00,0.0050
3971.00,0.0050
3970.00,0.0050
3969.00,0.0049
3968.00,0.0049
3967.00,0.0049
3966.00,0.0049
3965.00,0.0049
3964.00,0.0049
3963.00,0.0049
3962.00,0.0049
3961.00,0.0049
3960.00,0.0049
3959.00,0.0048
3958.00,0.0048
3957.00,0.0048
3956.00,0.0048
3955.00,0.0049
3954.00,0.0049
3953.00,0.0049
3952.00,0.0049
3951.00,0.0049
3950.00,0.0049
3949.00,0.0049
3948.00,0.0049
3947.00,0.0049
3946.00,0.0049
3945.00,0.0049
3944.00,0.0049
3943.00,0.0049
3942.00,0.0049
3941.00,0.0049
3940.00,0.0049
3939.00,0.0049
3938.00,0.0049
3937.00,0.0049
3936.00,0.0049
3935.00,0.0049
3934.00,0.0049
3933.00,0.0049
3932.00,0.0048
3931.00,0.0048
3930.00,0.0048
3929.00,0.0048
3928.00,0.0048
3927.00,0.0048
3926.00,0.0048
3925.00,0.0048
3924.00,0.0048
3923.00,0.0048
3922.00,0.0048
3921.00,0.0048
3920.00,0.0048
3919.00,0.0048
3918.00,0.0047
3917.00,0.0047
3916.00,0.0047
3915.00,0.0047
3914.00,0.0047
3913.00,0.0047
3912.00,0.0047
3911.00,0.0047
3910.00,0.0047
3909.00,0.0047
3908.00,0.0047
3907.00,0.0047
3906.00,0.0047
3905.00,0.0048
3904.00,0.0048
3903.00,0.0048
3902.00,0.0048
3901.00,0.0048
3900.00,0.0048
3899.00,0.0048
3898.00,0.0048
3897.00,0.0047
3896.00,0.0047
3895.00,0.0047
3894.00,0.0047
3893.00,0.0047
3892.00,0.0047
3891.00,0.0047
3890.00,0.0047
3889.00,0.0047
3888.00,0.0046
3887.00,0.0047
3886.00,0.0047
3885.00,0.0046
3884.00,0.0046
3883.00,0.0046
3882.00,0.0046
3881.00,0.0046
3880.00,0.0046
3879.00,0.0046
3878.00,0.0046
3877.00,0.0046
3876.00,0.0046
3875.00,0.0046
3874.00,0.0046
3873.00,0.0046
3872.00,0.0046
3871.00,0.0046
3870.00,0.0046
3869.00,0.0046
3868.00,0.0046
3867.00,0.0045
3866.00,0.0045
3865.00,0.0045
3864.00,0.0045
3863.00,0.0045
3862.00,0.0046
3861.00,0.0045
3860.00,0.0045
3859.00,0.0045
3858.00,0.0045
3857.00,0.0045
3856.00,0.0045
3855.00,0.0045
3854.00,0.0045
3853.00,0.0045
3852.00,0.0045
3851.00,0.0045
3850.00,0.0045
3849.00,0.0046
3848.00,0.0045
3847.00,0.0045
3846.00,0.0045
3845.00,0.0045
3844.00,0.0045
3843.00,0.0045
3842.00,0.0045
3841.00,0.0045
3840.00,0.0044
3839.00,0.0044
3838.00,0.0044
3837.00,0.0044
3836.00,0.0044
3835.00,0.0044
3834.00,0.0044
3833.00,0.0044
3832.00,0.0044
3831.00,0.0044
3830.00,0.0045
3829.00,0.0045
3828.00,0.0044
3827.00,0.0044
3826.00,0.0044
3825.00,0.0044
3824.00,0.0044
3823.00,0.0044
3822.00,0.0043
3821.00,0.0043
3820.00,0.0043
3819.00,0.0043
3818.00,0.0043
3817.00,0.0043
3816.00,0.0044
3815.00,0.0044
3814.00,0.0044
3813.00,0.0044
3812.00,0.0044
3811.00,0.0043
3810.00,0.0043
3809.00,0.0043
3808.00,0.0043
3807.00,0.0043
3806.00,0.0043
3805.00,0.0043
3804.00,0.0043
3803.00,0.0043
3802.00,0.0043
3801.00,0.0043
3800.00,0.0043
3799.00,0.0043
3798.00,0.0043
3797.00,0.0043
3796.00,0.0043
3795.00,0.0043
3794.00,0.0044
3793.00,0.0044
3792.00,0.0044
3791.00,0.0044
3790.00,0.0044
3789.00,0.0044
3788.00,0.0043
3787.00,0.0043
3786.00,0.0043
3785.00,0.0043
3784.00,0.0043
3783.00,0.0043
3782.00,0.0042
3781.00,0.0042
3780.00,0.0043
3779.00,0.0043
3778.00,0.0043
3777.00,0.0043
3776.00,0.0043
3775.00,0.0043
3774.00,0.0043
3773.00,0.0043
3772.00,0.0043
3771.00,0.0043
3770.00,0.0043
3769.00,0.0043
3768.00,0.0043
3767.00,0.0043
3766.00,0.0043
3765.00,0.0042
3764.00,0.0042
3763.00,0.0042
3762.00,0.0043
3761.00,0.0043
3760.00,0.0043
3759.00,0.0042
3758.00,0.0042
3757.00,0.0042
3756.00,0.0042
3755.00,0.0042
3754.00,0.0042
3753.00,0.0042
3752.00,0.0042
3751.00,0.0042
3750.00,0.0042
3749.00,0.0042
3748.00,0.0041
3747.00,0.0041
3746.00,0.0041
3745.00,0.0041
3744.00,0.0041
3743.00,0.0041
3742.00,0.0041
3741.00,0.0041
3740.00,0.0041
3739.00,0.0041
3738.00,0.0041
3737.00,0.0041
3736.00,0.0041
3735.00,0.0041
3734.00,0.0040
3733.00,0.0040
3732.00,0.0040
3731.00,0.0040
3730.00,0.0039
3729.00,0.0039
3728.00,0.0039
3727.00,0.0039
3726.00,0.0039
3725.00,0.0039
3724.00,0.0039
3723.00,0.0039
3722.00,0.0039
3721.00,0.0039
3720.00,0.0040
3719.00,0.0040
3718.00,0.0040
3717.00,0.0040
3716.00,0.0040
3715.00,0.0040
3714.00,0.0040
3713.00,0.0040
3712.00,0.0039
3711.00,0.0039
3710.00,0.0039
