Created as New Dataset,Sample 838 By YargerLab Date Saturday, April 18 2026
cm-1,A
4000.00,0.1092
3999.00,0.1095
3998.00,0.1097
3997.00,0.1100
3996.00,0.1104
3995.00,0.1109
3994.00,0.1117
3993.00,0.1125
3992.00,0.1134
3991.00,0.1143
3990.00,0.1149
3989.00,0.1154
3988.00,0.1156
3987.00,0.1155
3986.00,0.1153
3985.00,0.1148
3984.00,0.1142
3983.00,0.1136
3982.00,0.1131
3981.00,0.1126
3980.00,0.1123
3979.00,0.1120
3978.00,0.1118
3977.00,0.1115
3976.00,0.1113
3975.00,0.1110
3974.00,0.1106
3973.00,0.1103
3972.00,0.1100
3971.00,0.1098
3970.00,0.1096
3969.00,0.1095
3968.00,0.1094
3967.00,0.1094
3966.00,0.1094
3965.00,0.1094
3964.00,0.1094
3963.00,0.1095
3962.00,0.1097
3961.00,0.1100
3960.00,0.1104
3959.00,0.1107
3958.00,0.1110
3957.00,0.1111
3956.00,0.1110
3955.00,0.1108
3954.00,0.1106
3953.00,0.1104
3952.00,0.1102
3951.00,0.1100
3950.00,0.1099
3949.00,0.1098
3948.00,0.1096
3947.00,0.1095
3946.00,0.1094
3945.00,0.1095
3944.00,0.1096
3943.00,0.1098
3942.00,0.1100
3941.00,0.1101
3940.00,0.1101
3939.00,0.1101
3938.00,0.1099
3937.00,0.1096
3936.00,0.1094
3935.00,0.1091
3934.00,0.1089
3933.00,0.1088
3932.00,0.1087
3931.00,0.1085
3930.00,0.1083
3929.00,0.1080
3928.00,0.1079
3927.00,0.1077
3926.00,0.1076
3925.00,0.1074
3924.00,0.1073
3923.00,0.1071
3922.00,0.1070
3921.00,0.1069
3920.00,0.1069
3919.00,0.1069
3918.00,0.1069
3917.00,0.1069
3916.00,0.1069
3915.00,0.1069
3914.00,0.1069
3913.00,0.1069
3912.00,0.1070
3911.00,0.1071
3910.00,0.1071
3909.00,0.1071
3908.00,0.1071
3907.00,0.1070
3906.00,0.1070
3905.00,0.1070
3904.00,0.1071
3903.00,0.1072
3902.00,0.1074
3901.00,0.1077
3900.00,0.1080
3899.00,0.1082
3898.00,0.1082
3897.00,0.1082
3896.00,0.1082
3895.00,0.1082
3894.00,0.1083
3893.00,0.1084
3892.00,0.1084
3891.00,0.1083
3890.00,0.1080
3889.00,0.1078
3888.00,0.1077
3887.00,0.1077
3886.00,0.1077
3885.00,0.1076
3884.00,0.1074
3883.00,0.1075
3882.00,0.1078
3881.00,0.1080
3880.00,0.1080
3879.00,0.1078
3878.00,0.1076
3877.00,0.1075
3876.00,0.1075
3875.00,0.1073
3874.00,0.1071
3873.00,0.1068
3872.00,0.1067
3871.00,0.1068
3870.00,0.1068
3869.00,0.1066
3868.00,0.1065
3867.00,0.1066
3866.00,0.1068
3865.00,0.1070
3864.00,0.1071
3863.00,0.1071
3862.00,0.1072
3861.00,0.1074
3860.00,0.1076
3859.00,0.1077
3858.00,0.1078
3857.00,0.1079
3856.00,0.1082
3855.00,0.1089
3854.00,0.1099
3853.00,0.1106
3852.00,0.1110
3851.00,0.1113
3850.00,0.1118
3849.00,0.1122
3848.00,0.1123
3847.00,0.1121
3846.00,0.1118
3845.00,0.1113
3844.00,0.1108
3843.00,0.1102
3842.00,0.1095
3841.00,0.1090
3840.00,0.1086
3839.00,0.1083
3838.00,0.1081
3837.00,0.1079
3836.00,0.1078
3835.00,0.1079
3834.00,0.1082
3833.00,0.1085
3832.00,0.1086
3831.00,0.1086
3830.00,0.1086
3829.00,0.1085
3828.00,0.1085
3827.00,0.1084
3826.00,0.1081
3825.00,0.1077
3824.00,0.1075
3823.00,0.1075
3822.00,0.1075
3821.00,0.1074
3820.00,0.1071
3819.00,0.1069
