Created as New Dataset,Sample 836 By YargerLab Date Saturday, April 18 2026
cm-1,A
4000.00,0.0026
3999.00,0.0026
3998.00,0.0026
3997.00,0.0026
3996.00,0.0026
3995.00,0.0026
3994.00,0.0026
3993.00,0.0026
3992.00,0.0026
3991.00,0.0026
3990.00,0.0026
3989.00,0.0026
3988.00,0.0026
3987.00,0.0026
3986.00,0.0026
3985.00,0.0026
3984.00,0.0026
3983.00,0.0026
3982.00,0.0026
3981.00,0.0026
3980.00,0.0026
3979.00,0.0026
3978.00,0.0026
3977.00,0.0026
3976.00,0.0026
3975.00,0.0026
3974.00,0.0026
3973.00,0.0026
3972.00,0.0026
3971.00,0.0026
3970.00,0.0026
3969.00,0.0026
3968.00,0.0026
3967.00,0.0026
3966.00,0.0026
3965.00,0.0026
3964.00,0.0026
3963.00,0.0026
3962.00,0.0026
3961.00,0.0026
3960.00,0.0026
3959.00,0.0026
3958.00,0.0026
3957.00,0.0026
3956.00,0.0026
3955.00,0.0026
3954.00,0.0026
3953.00,0.0026
3952.00,0.0026
3951.00,0.0026
3950.00,0.0026
3949.00,0.0027
3948.00,0.0027
3947.00,0.0027
3946.00,0.0027
3945.00,0.0027
3944.00,0.0026
3943.00,0.0026
3942.00,0.0026
3941.00,0.0026
3940.00,0.0026
3939.00,0.0026
3938.00,0.0026
3937.00,0.0026
3936.00,0.0026
3935.00,0.0026
3934.00,0.0026
3933.00,0.0027
3932.00,0.0027
3931.00,0.0027
3930.00,0.0027
3929.00,0.0027
3928.00,0.0027
3927.00,0.0026
3926.00,0.0026
3925.00,0.0026
3924.00,0.0026
3923.00,0.0026
3922.00,0.0025
3921.00,0.0026
3920.00,0.0026
3919.00,0.0026
3918.00,0.0027
3917.00,0.0027
3916.00,0.0027
3915.00,0.0026
3914.00,0.0026
3913.00,0.0026
3912.00,0.0026
3911.00,0.0026
3910.00,0.0026
3909.00,0.0026
3908.00,0.0026
3907.00,0.0026
3906.00,0.0027
3905.00,0.0027
3904.00,0.0027
3903.00,0.0027
3902.00,0.0027
3901.00,0.0027
3900.00,0.0027
3899.00,0.0027
3898.00,0.0027
3897.00,0.0027
3896.00,0.0026
3895.00,0.0026
3894.00,0.0026
3893.00,0.0026
3892.00,0.0026
3891.00,0.0026
3890.00,0.0026
3889.00,0.0026
3888.00,0.0026
3887.00,0.0026
3886.00,0.0026
3885.00,0.0026
3884.00,0.0026
3883.00,0.0026
3882.00,0.0026
3881.00,0.0026
3880.00,0.0026
3879.00,0.0026
3878.00,0.0026
3877.00,0.0026
3876.00,0.0026
3875.00,0.0026
3874.00,0.0026
3873.00,0.0026
3872.00,0.0026
3871.00,0.0026
3870.00,0.0026
3869.00,0.0026
3868.00,0.0026
3867.00,0.0026
3866.00,0.0026
3865.00,0.0027
3864.00,0.0027
3863.00,0.0026
3862.00,0.0026
3861.00,0.0026
3860.00,0.0026
3859.00,0.0026
3858.00,0.0025
3857.00,0.0025
3856.00,0.0024
3855.00,0.0024
3854.00,0.0025
3853.00,0.0025
3852.00,0.0025
3851.00,0.0026
3850.00,0.0026
3849.00,0.0026
3848.00,0.0026
3847.00,0.0026
3846.00,0.0026
3845.00,0.0026
3844.00,0.0026
3843.00,0.0026
3842.00,0.0026
3841.00,0.0025
3840.00,0.0025
3839.00,0.0025
3838.00,0.0025
3837.00,0.0025
3836.00,0.0025
3835.00,0.0025
3834.00,0.0025
3833.00,0.0025
3832.00,0.0025
3831.00,0.0025
3830.00,0.0025
3829.00,0.0025
3828.00,0.0025
3827.00,0.0025
3826.00,0.0025
3825.00,0.0025
3824.00,0.0025
3823.00,0.0026
3822.00,0.0026
3821.00,0.0026
3820.00,0.0025
3819.00,0.0025
3818.00,0.0025
3817.00,0.0025
3816.00,0.0025
3815.00,0.0025
3814.00,0.0025
3813.00,0.0026
3812.00,0.0026
3811.00,0.0026
3810.00,0.0026
3809.00,0.0026
3808.00,0.0026
3807.00,0.0026
3806.00,0.0026
3805.00,0.0026
3804.00,0.0025
3803.00,0.0025
3802.00,0.0025
3801.00,0.0025
3800.00,0.0025
3799.00,0.0025
3798.00,0.0025
3797.00,0.0025
3796.00,0.0025
3795.00,0.0025
3794.00,0.0025
3793.00,0.0025
3792.00,0.0025
3791.00,0.0025
3790.00,0.0025
3789.00,0.0025
3788.00,0.0025
3787.00,0.0026
3786.00,0.0026
3785.00,0.0026
3784.00,0.0026
3783.00,0.0025
3782.00,0.0025
3781.00,0.0025
3780.00,0.0025
3779.00,0.0025
3778.00,0.0025
3777.00,0.0025
3776.00,0.0025
3775.00,0.0024
3774.00,0.0024
3773.00,0.0024
3772.00,0.0025
3771.00,0.0025
3770.00,0.0025
3769.00,0.0025
3768.00,0.0025
3767.00,0.0025
3766.00,0.0026
3765.00,0.0025
3764.00,0.0025
3763.00,0.0025
3762.00,0.0025
3761.00,0.0025
3760.00,0.0025
3759.00,0.0025
3758.00,0.0025
3757.00,0.0025
3756.00,0.0025
3755.00,0.0025
3754.00,0.0025
3753.00,0.0026
3752.00,0.0026
3751.00,0.0026
3750.00,0.0026
3749.00,0.0026
3748.00,0.0026
3747.00,0.0026
3746.00,0.0026
3745.00,0.0025
3744.00,0.0025
3743.00,0.0025
3742.00,0.0025
3741.00,0.0025
3740.00,0.0025
3739.00,0.0025
3738.00,0.0025
3737.00,0.0025
3736.00,0.0026
3735.00,0.0026
3734.00,0.0025
3733.00,0.0025
3732.00,0.0025
3731.00,0.0025
3730.00,0.0025
3729.00,0.0025
3728.00,0.0025
3727.00,0.0025
3726.00,0.0025
3725.00,0.0025
3724.00,0.0025
3723.00,0.0025
3722.00,0.0025
3721.00,0.0025
3720.00,0.0025
3719.00,0.0024
3718.00,0.0024
3717.00,0.0024
3716.00,0.0024
3715.00,0.0025
3714.00,0.0025
3713.00,0.0025
3712.00,0.0024
3711.00,0.0024
3710.00,0.0024
3709.00,0.0023
3708.00,0.0024
3707.00,0.0024
3706.00,0.0024
3705.00,0.0024
3704.00,0.0024
3703.00,0.0024
3702.00,0.0024
3701.00,0.0024
3700.00,0.0024
3699.00,0.0024
3698.00,0.0023
3697.00,0.0023
3696.00,0.0023
3695.00,0.0023
3694.00,0.0023
3693.00,0.0023
3692.00,0.0023
3691.00,0.0023
3690.00,0.0023
3689.00,0.0023
3688.00,0.0024
3687.00,0.0024
3686.00,0.0024
3685.00,0.0024
3684.00,0.0024
3683.00,0.0023
3682.00,0.0023
3681.00,0.0023
3680.00,0.0023
3679.00,0.0024
3678.00,0.0024
3677.00,0.0024
3676.00,0.0024
3675.00,0.0023
3674.00,0.0023
3673.00,0.0023
3672.00,0.0023
3671.00,0.0023
3670.00,0.0023
3669.00,0.0023
3668.00,0.0023
3667.00,0.0023
3666.00,0.0023
3665.00,0.0023
3664.00,0.0023
3663.00,0.0023
3662.00,0.0023
3661.00,0.0023
3660.00,0.0023
3659.00,0.0024
3658.00,0.0024
3657.00,0.0024
3656.00,0.0024
3655.00,0.0024
3654.00,0.0024
3653.00,0.0024
3652.00,0.0025
3651.00,0.0025
3650.00,0.0025
3649.00,0.0025
3648.00,0.0024
3647.00,0.0024
3646.00,0.0024
3645.00,0.0024
3644.00,0.0024
3643.00,0.0024
3642.00,0.0024
3641.00,0.0023
3640.00,0.0023
3639.00,0.0022
3638.00,0.0022
3637.00,0.0022
3636.00,0.0022
3635.00,0.0023
3634.00,0.0023
3633.00,0.0023
3632.00,0.0023
3631.00,0.0023
3630.00,0.0023
3629.00,0.0023
3628.00,0.0023
3627.00,0.0023
3626.00,0.0023
3625.00,0.0023
3624.00,0.0023
3623.00,0.0023
3622.00,0.0023
3621.00,0.0023
3620.00,0.0023
3619.00,0.0023
3618.00,0.0023
3617.00,0.0023
3616.00,0.0023
3615.00,0.0023
3614.00,0.0024
3613.00,0.0024
3612.00,0.0024
3611.00,0.0024
3610.00,0.0023
3609.00,0.0023
3608.00,0.0023
3607.00,0.0023
3606.00,0.0023
3605.00,0.0023
3604.00,0.0023
3603.00,0.0022
3602.00,0.0022
3601.00,0.0022
3600.00,0.0023
3599.00,0.0023
3598.00,0.0023
3597.00,0.0023
3596.00,0.0023
3595.00,0.0023
3594.00,0.0022
3593.00,0.0022
3592.00,0.0022
3591.00,0.0023
3590.00,0.0023
3589.00,0.0023
3588.00,0.0024
3587.00,0.0024
3586.00,0.0023
3585.00,0.0023
3584.00,0.0023
3583.00,0.0023
3582.00,0.0023
3581.00,0.0023
3580.00,0.0022
3579.00,0.0022
3578.00,0.0022
3577.00,0.0022
3576.00,0.0022
3575.00,0.0022
3574.00,0.0022
3573.00,0.0022
3572.00,0.0022
3571.00,0.0023
3570.00,0.0023
3569.00,0.0024
3568.00,0.0024
3567.00,0.0024
3566.00,0.0024
3565.00,0.0023
3564.00,0.0023
3563.00,0.0022
3562.00,0.0022
3561.00,0.0022
3560.00,0.0022
3559.00,0.0023
3558.00,0.0023
3557.00,0.0023
3556.00,0.0022
3555.00,0.0022
3554.00,0.0023
3553.00,0.0023
3552.00,0.0023
3551.00,0.0023
3550.00,0.0023
3549.00,0.0023
3548.00,0.0023
3547.00,0.0023
3546.00,0.0023
3545.00,0.0023
3544.00,0.0022
3543.00,0.0022
3542.00,0.0022
3541.00,0.0022
3540.00,0.0022
3539.00,0.0023
3538.00,0.0023
3537.00,0.0023
3536.00,0.0023
3535.00,0.0023
3534.00,0.0024
3533.00,0.0024
3532.00,0.0023
3531.00,0.0023
3530.00,0.0024
3529.00,0.0024
3528.00,0.0024
3527.00,0.0024
3526.00,0.0024
3525.00,0.0024
3524.00,0.0024
3523.00,0.0024
3522.00,0.0024
3521.00,0.0024
3520.00,0.0023
3519.00,0.0023
3518.00,0.0023
3517.00,0.0023
3516.00,0.0023
3515.00,0.0023
3514.00,0.0023
3513.00,0.0023
3512.00,0.0023
3511.00,0.0023
3510.00,0.0022
3509.00,0.0022
3508.00,0.0022
3507.00,0.0022
3506.00,0.0023
3505.00,0.0023
3504.00,0.0023
3503.00,0.0023
3502.00,0.0023
3501.00,0.0023
3500.00,0.0023
3499.00,0.0023
3498.00,0.0023
3497.00,0.0023
