Created as New Dataset,Sample 852 By YargerLab Date Saturday, April 18 2026
cm-1,A
4000.00,0.0046
3999.00,0.0046
3998.00,0.0046
3997.00,0.0046
3996.00,0.0046
3995.00,0.0046
3994.00,0.0046
3993.00,0.0046
3992.00,0.0046
3991.00,0.0046
3990.00,0.0046
3989.00,0.0046
3988.00,0.0046
3987.00,0.0046
3986.00,0.0046
3985.00,0.0046
3984.00,0.0046
3983.00,0.0046
3982.00,0.0046
3981.00,0.0046
3980.00,0.0046
3979.00,0.0046
3978.00,0.0046
3977.00,0.0046
3976.00,0.0046
3975.00,0.0046
3974.00,0.0046
3973.00,0.0046
3972.00,0.0046
3971.00,0.0047
3970.00,0.0047
3969.00,0.0047
3968.00,0.0046
3967.00,0.0046
3966.00,0.0046
3965.00,0.0046
3964.00,0.0046
3963.00,0.0046
3962.00,0.0046
3961.00,0.0046
3960.00,0.0046
3959.00,0.0045
3958.00,0.0045
3957.00,0.0045
3956.00,0.0045
3955.00,0.0045
3954.00,0.0046
3953.00,0.0046
3952.00,0.0046
3951.00,0.0046
3950.00,0.0046
3949.00,0.0045
3948.00,0.0045
3947.00,0.0045
3946.00,0.0045
3945.00,0.0046
3944.00,0.0046
3943.00,0.0046
3942.00,0.0046
3941.00,0.0045
3940.00,0.0045
3939.00,0.0045
3938.00,0.0045
3937.00,0.0045
3936.00,0.0045
3935.00,0.0045
3934.00,0.0045
3933.00,0.0045
3932.00,0.0045
3931.00,0.0045
3930.00,0.0045
3929.00,0.0045
3928.00,0.0045
3927.00,0.0045
3926.00,0.0045
3925.00,0.0045
3924.00,0.0045
3923.00,0.0045
3922.00,0.0045
3921.00,0.0045
3920.00,0.0045
3919.00,0.0045
3918.00,0.0045
3917.00,0.0045
3916.00,0.0045
3915.00,0.0045
3914.00,0.0045
3913.00,0.0045
3912.00,0.0045
3911.00,0.0045
3910.00,0.0045
3909.00,0.0045
3908.00,0.0045
3907.00,0.0045
3906.00,0.0044
3905.00,0.0044
3904.00,0.0044
3903.00,0.0044
3902.00,0.0044
3901.00,0.0044
3900.00,0.0044
3899.00,0.0044
3898.00,0.0044
3897.00,0.0044
3896.00,0.0044
3895.00,0.0044
3894.00,0.0044
3893.00,0.0044
3892.00,0.0044
3891.00,0.0044
3890.00,0.0044
3889.00,0.0044
3888.00,0.0044
3887.00,0.0044
3886.00,0.0044
3885.00,0.0044
3884.00,0.0044
3883.00,0.0044
3882.00,0.0044
3881.00,0.0044
3880.00,0.0044
3879.00,0.0044
3878.00,0.0044
3877.00,0.0044
3876.00,0.0043
3875.00,0.0043
3874.00,0.0044
3873.00,0.0044
3872.00,0.0044
3871.00,0.0044
3870.00,0.0044
3869.00,0.0045
3868.00,0.0045
3867.00,0.0044
3866.00,0.0044
3865.00,0.0044
3864.00,0.0044
3863.00,0.0044
3862.00,0.0044
3861.00,0.0044
3860.00,0.0044
3859.00,0.0044
3858.00,0.0044
3857.00,0.0044
3856.00,0.0043
3855.00,0.0043
3854.00,0.0043
3853.00,0.0043
3852.00,0.0043
3851.00,0.0043
3850.00,0.0043
3849.00,0.0043
3848.00,0.0043
3847.00,0.0043
3846.00,0.0044
3845.00,0.0044
3844.00,0.0044
3843.00,0.0043
3842.00,0.0043
3841.00,0.0043
3840.00,0.0042
3839.00,0.0042
3838.00,0.0042
3837.00,0.0042
3836.00,0.0042
3835.00,0.0042
3834.00,0.0042
3833.00,0.0042
3832.00,0.0042
3831.00,0.0042
3830.00,0.0042
3829.00,0.0042
3828.00,0.0042
3827.00,0.0042
3826.00,0.0043
3825.00,0.0043
3824.00,0.0043
3823.00,0.0043
3822.00,0.0043
3821.00,0.0043
3820.00,0.0043
3819.00,0.0043
3818.00,0.0043
3817.00,0.0043
3816.00,0.0043
3815.00,0.0043
3814.00,0.0043
3813.00,0.0042
3812.00,0.0042
3811.00,0.0042
3810.00,0.0042
3809.00,0.0042
3808.00,0.0042
3807.00,0.0042
3806.00,0.0042
3805.00,0.0042
3804.00,0.0042
3803.00,0.0041
3802.00,0.0041
3801.00,0.0042
3800.00,0.0042
3799.00,0.0041
3798.00,0.0041
3797.00,0.0041
3796.00,0.0041
3795.00,0.0041
3794.00,0.0042
3793.00,0.0042
3792.00,0.0042
3791.00,0.0042
3790.00,0.0042
3789.00,0.0042
3788.00,0.0042
3787.00,0.0042
3786.00,0.0042
3785.00,0.0042
3784.00,0.0042
3783.00,0.0042
3782.00,0.0042
3781.00,0.0042
3780.00,0.0042
3779.00,0.0042
3778.00,0.0042
3777.00,0.0042
3776.00,0.0042
3775.00,0.0042
3774.00,0.0042
3773.00,0.0042
3772.00,0.0042
3771.00,0.0042
3770.00,0.0042
3769.00,0.0042
3768.00,0.0042
3767.00,0.0042
3766.00,0.0042
3765.00,0.0042
3764.00,0.0042
3763.00,0.0042
3762.00,0.0042
3761.00,0.0041
3760.00,0.0041
3759.00,0.0041
3758.00,0.0041
3757.00,0.0041
3756.00,0.0041
3755.00,0.0042
3754.00,0.0042
3753.00,0.0042
3752.00,0.0041
3751.00,0.0041
3750.00,0.0041
3749.00,0.0040
3748.00,0.0040
3747.00,0.0040
3746.00,0.0040
3745.00,0.0040
3744.00,0.0040
3743.00,0.0041
3742.00,0.0041
3741.00,0.0041
3740.00,0.0041
3739.00,0.0041
3738.00,0.0041
3737.00,0.0041
3736.00,0.0040
3735.00,0.0040
3734.00,0.0040
3733.00,0.0040
3732.00,0.0040
3731.00,0.0040
3730.00,0.0040
3729.00,0.0040
3728.00,0.0040
3727.00,0.0040
3726.00,0.0040
3725.00,0.0039
3724.00,0.0039
3723.00,0.0039
3722.00,0.0039
3721.00,0.0039
3720.00,0.0039
3719.00,0.0039
3718.00,0.0039
3717.00,0.0039
