Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-27 17:50:27.4,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:27.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:27.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.7,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.8,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.8,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:28.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:29.1,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:29.2,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:29.3,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:29.4,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:29.6,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:29.9,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:30.0,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:30.0,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:30.1,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:30.3,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:30.4,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:50:30.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:30.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:30.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:30.7,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:30.8,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:30.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:30.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:31.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:31.2,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:31.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:31.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:31.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:31.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.7,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.8,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:32.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:33.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:33.2,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:33.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:33.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:33.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:33.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:34.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:50:34.0,-0.0,25.6,96.8,25.1,15.9
