Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.24,-102.996
0.49,-102.946
0.73,-102.741
0.98,-102.490
1.22,-102.384
1.46,-102.193
1.71,-101.452
1.95,-101.569
2.20,-102.239
2.44,-101.174
2.69,-100.437
2.93,-98.448
3.17,-100.786
3.42,-100.062
3.66,-98.061
3.91,-98.522
4.15,-99.377
4.39,-98.368
4.64,-96.751
4.88,-97.061
5.13,-95.515
5.37,-94.589
5.62,-91.214
5.86,-92.265
6.10,-92.122
6.35,-93.758
6.59,-95.551
6.84,-97.248
7.08,-96.427
7.32,-95.294
7.57,-96.606
7.81,-94.870
8.06,-95.662
8.30,-93.441
8.54,-92.798
8.79,-92.742
9.03,-91.400
9.28,-88.763
9.52,-87.861
9.77,-89.367
10.01,-88.621
10.25,-87.899
10.50,-86.217
10.74,-86.034
10.99,-86.640
11.23,-86.315
11.47,-87.191
11.72,-90.145
11.96,-88.817
12.21,-89.425
12.45,-91.090
12.70,-90.024
12.94,-81.004
13.18,-85.516
13.43,-84.236
13.67,-84.947
13.92,-82.913
14.16,-85.457
14.40,-85.713
14.65,-86.479
14.89,-84.459
15.14,-79.673
15.38,-86.511
15.62,-85.023
15.87,-75.337
16.11,-84.076
16.36,-86.153
16.60,-89.404
16.85,-88.077
17.09,-88.457
17.33,-89.956
17.58,-89.395
17.82,-87.176
18.07,-87.290
18.31,-85.651
18.55,-85.610
18.80,-83.367
19.04,-85.799
19.29,-85.612
19.53,-87.620
19.78,-83.596
20.02,-87.173
20.26,-84.923
20.51,-81.562
20.75,-85.030
21.00,-87.216
21.24,-86.539
21.48,-84.378
21.73,-88.738
21.97,-87.384
22.22,-86.449
22.46,-87.866
22.71,-86.479
22.95,-89.668
23.19,-86.244
23.44,-86.311
23.68,-83.589
23.93,-82.945
24.17,-85.273
24.41,-84.247
24.66,-86.271
24.90,-85.093
25.15,-81.626
25.39,-82.210
25.63,-84.004
25.88,-83.555
26.12,-84.352
26.37,-79.463
26.61,-74.863
26.86,-78.053
27.10,-78.573
27.34,-79.802
27.59,-78.660
27.83,-78.870
28.08,-76.219
28.32,-75.376
28.56,-67.247
28.81,-63.853
29.05,-74.014
29.30,-75.318
29.54,-63.867
29.79,-71.456
30.03,-76.556
30.27,-77.801
30.52,-75.297
30.76,-79.033
31.01,-79.424
31.25,-80.267
31.49,-80.595
31.74,-74.773
31.98,-77.666
32.23,-80.270
32.47,-74.235
32.71,-76.955
32.96,-78.220
33.20,-77.559
33.45,-74.742
33.69,-74.644
33.94,-74.404
34.18,-74.627
34.42,-70.076
34.67,-69.654
34.91,-72.361
35.16,-70.736
35.40,-75.531
35.64,-74.785
35.89,-76.871
36.13,-76.672
36.38,-76.692
36.62,-76.208
36.87,-79.589
37.11,-78.016
37.35,-82.583
37.60,-81.507
37.84,-80.839
38.09,-80.739
38.33,-79.275
38.57,-79.063
38.82,-82.864
39.06,-82.174
39.31,-79.162
39.55,-77.668
39.79,-79.035
40.04,-82.894
40.28,-80.307
40.53,-80.967
40.77,-79.758
41.02,-80.992
41.26,-81.419
41.50,-79.958
41.75,-79.403
41.99,-76.808
42.24,-80.110
42.48,-77.415
42.72,-77.473
42.97,-75.279
43.21,-76.748
43.46,-75.847
43.70,-75.891
43.95,-78.656
44.19,-78.760
44.43,-79.296
44.68,-79.882
44.92,-76.911
45.17,-75.776
45.41,-79.254
45.65,-82.804
45.90,-83.776
46.14,-84.199
46.39,-82.549
46.63,-83.584
46.88,-82.932
47.12,-81.806
47.36,-80.242
47.61,-80.542
47.85,-79.759
48.10,-80.201
48.34,-79.203
48.58,-80.410
48.83,-80.809
49.07,-77.940
49.32,-82.271
49.56,-79.516
49.80,-81.084
50.05,-81.390
50.29,-79.026
50.54,-79.196
50.78,-78.647
51.03,-77.492
51.27,-78.506
51.51,-77.078
51.76,-78.367
52.00,-77.523
52.25,-76.866
52.49,-77.833
52.73,-77.169
52.98,-78.343
53.22,-78.066
53.47,-80.036
53.71,-81.251
53.96,-78.793
54.20,-78.422
54.44,-78.069
54.69,-79.216
54.93,-80.653
55.18,-79.949
55.42,-81.875
55.66,-79.647
55.91,-82.956
56.15,-77.710
56.40,-81.212
56.64,-82.068
56.88,-81.947
57.13,-84.284
57.37,-77.030
57.62,-77.467
57.86,-74.354
58.11,-75.322
58.35,-73.202
58.59,-71.861
58.84,-76.078
59.08,-72.745
59.33,-70.698
59.57,-79.283
59.81,-82.917
60.06,-83.955
60.30,-83.115
60.55,-81.935
60.79,-82.495
61.04,-83.358
61.28,-82.785
61.52,-80.862
61.77,-82.591
62.01,-81.743
62.26,-79.508
62.50,-83.576
62.74,-82.765
62.99,-83.271
63.23,-80.508
63.48,-76.817
63.72,-70.863
63.96,-79.745
64.21,-81.238
64.45,-80.926
64.70,-82.072
64.94,-82.167
65.19,-82.756
65.43,-81.573
65.67,-82.545
65.92,-80.547
66.16,-80.706
66.41,-82.235
66.65,-77.537
66.89,-78.692
67.14,-77.850
67.38,-77.087
67.63,-78.510
67.87,-77.962
68.12,-78.289
68.36,-78.417
68.60,-75.960
68.85,-74.943
69.09,-73.376
69.34,-75.712
69.58,-77.683
69.82,-79.715
70.07,-80.426
70.31,-79.697
70.56,-81.032
70.80,-81.451
71.04,-79.509
71.29,-78.005
71.53,-78.284
71.78,-80.217
72.02,-78.279
72.27,-80.534
72.51,-81.108
72.75,-81.271
73.00,-81.453
73.24,-81.648
73.49,-79.842
73.73,-82.708
73.97,-80.935
74.22,-81.254
74.46,-81.832
74.71,-83.363
74.95,-80.991
75.20,-80.865
75.44,-81.298
75.68,-81.014
75.93,-81.405
76.17,-82.488
76.42,-82.318
76.66,-78.635
76.90,-80.542
77.15,-80.263
77.39,-80.283
77.64,-83.742
77.88,-80.234
78.12,-80.977
78.37,-79.214
78.61,-82.351
78.86,-78.221
79.10,-81.753
79.35,-79.045
79.59,-76.261
79.83,-79.181
80.08,-80.155
80.32,-79.789
80.57,-81.326
80.81,-80.470
81.05,-79.985
81.30,-78.886
81.54,-80.190
81.79,-80.976
82.03,-80.104
82.28,-82.006
82.52,-78.311
82.76,-83.080
83.01,-83.094
83.25,-81.673
83.50,-80.188
83.74,-80.264
83.98,-81.908
84.23,-83.727
84.47,-80.899
84.72,-80.859
84.96,-81.695
85.21,-82.797
85.45,-81.199
85.69,-83.650
85.94,-81.082
86.18,-80.428
86.43,-81.002
86.67,-81.512
86.91,-82.339
87.16,-80.631
87.40,-82.455
87.65,-79.922
87.89,-81.163
88.13,-82.591
88.38,-79.800
88.62,-80.435
88.87,-69.789
89.11,-79.581
89.36,-79.015
89.60,-81.462
89.84,-81.205
90.09,-78.919
90.33,-79.304
90.58,-78.740
90.82,-79.992
91.06,-78.613
91.31,-77.716
91.55,-79.210
91.80,-77.734
92.04,-79.586
92.29,-79.220
92.53,-78.023
92.77,-77.575
93.02,-76.228
93.26,-75.744
93.51,-69.779
93.75,-77.418
93.99,-81.047
94.24,-82.325
94.48,-82.280
94.73,-78.783
94.97,-80.689
95.21,-81.667
95.46,-80.645
95.70,-85.773
95.95,-83.007
96.19,-82.088
96.44,-79.021
96.68,-81.107
96.92,-79.439
97.17,-82.447
97.41,-83.428
97.66,-82.308
97.90,-80.285
98.14,-82.825
98.39,-81.490
98.63,-81.381
98.88,-82.953
99.12,-81.781
99.37,-79.514
99.61,-78.315
99.85,-81.110
100.10,-80.466
100.34,-80.144
100.59,-80.717
100.83,-79.768
101.07,-78.135
101.32,-78.062
101.56,-78.993
101.81,-79.968
102.05,-78.144
102.29,-80.076
102.54,-80.306
102.78,-80.230
103.03,-76.545
103.27,-80.039
103.52,-76.298
103.76,-76.224
104.00,-77.849
104.25,-76.282
104.49,-76.319
104.74,-78.763
104.98,-78.308
105.22,-75.955
105.47,-79.830
105.71,-78.392
105.96,-76.969
106.20,-73.103
106.45,-76.637
106.69,-79.392
106.93,-77.884
107.18,-78.521
107.42,-79.278
107.67,-76.979
107.91,-77.941
108.15,-78.179
108.40,-78.414
108.64,-78.864
108.89,-77.013
109.13,-79.555
109.38,-77.055
109.62,-76.725
109.86,-77.970
110.11,-76.776
110.35,-76.922
110.60,-76.687
110.84,-75.185
111.08,-76.028
111.33,-76.223
111.57,-76.993
111.82,-76.633
112.06,-76.530
112.30,-74.008
112.55,-75.667
112.79,-73.809
113.04,-66.768
113.28,-74.683
113.53,-73.729
113.77,-73.617
114.01,-75.622
114.26,-74.138
114.50,-76.007
114.75,-74.248
114.99,-75.702
115.23,-75.304
115.48,-74.910
115.72,-77.618
115.97,-76.636
116.21,-76.018
116.46,-75.638
116.70,-75.798
116.94,-74.406
117.19,-75.324
117.43,-74.345
117.68,-75.298
117.92,-74.648
118.16,-71.899
118.41,-69.367
118.65,-68.420
118.90,-68.643
119.14,-66.788
119.38,-64.774
119.63,-59.958
119.87,-47.108
120.12,-54.731
120.36,-62.336
120.61,-66.245
120.85,-69.755
121.09,-70.224
121.34,-71.228
121.58,-71.196
121.83,-71.957
122.07,-73.097
122.31,-63.880
122.56,-73.410
122.80,-73.600
123.05,-77.451
123.29,-77.315
123.54,-69.641
123.78,-74.648
124.02,-76.856
124.27,-78.571
124.51,-78.274
124.76,-77.562
125.00,-76.498
125.24,-79.518
125.49,-78.886
125.73,-77.356
125.98,-79.046
126.22,-77.706
126.46,-77.171
126.71,-76.657
126.95,-78.134
127.20,-77.756
127.44,-74.609
127.69,-70.602
127.93,-68.916
128.17,-74.605
128.42,-75.960
128.66,-76.995
128.91,-76.071
129.15,-77.132
129.39,-76.721
129.64,-76.282
129.88,-75.840
130.13,-75.555
130.37,-74.146
130.62,-73.339
130.86,-74.679
131.10,-74.074
131.35,-71.648
131.59,-71.627
131.84,-70.448
132.08,-70.728
132.32,-66.198
132.57,-59.630
132.81,-47.411
133.06,-62.768
133.30,-67.229
133.54,-58.690
133.79,-66.362
134.03,-71.192
134.28,-73.125
134.52,-72.868
134.77,-74.832
135.01,-75.047
135.25,-76.186
135.50,-76.824
135.74,-77.427
135.99,-76.085
136.23,-77.222
136.47,-77.082
136.72,-76.828
136.96,-78.369
137.21,-76.445
137.45,-76.468
137.70,-78.589
137.94,-77.108
138.18,-75.423
138.43,-74.675
138.67,-72.715
138.92,-76.246
139.16,-75.022
139.40,-74.792
139.65,-75.347
139.89,-76.535
140.14,-76.152
140.38,-74.107
140.62,-72.684
140.87,-73.776
141.11,-74.054
141.36,-74.656
141.60,-73.377
141.85,-74.466
142.09,-74.356
142.33,-74.387
142.58,-74.028
142.82,-75.630
143.07,-76.495
143.31,-75.939
143.55,-74.750
143.80,-73.762
144.04,-73.366
144.29,-74.166
144.53,-72.232
144.78,-75.692
145.02,-74.233
145.26,-78.231
145.51,-75.076
145.75,-74.543
146.00,-73.754
146.24,-72.954
146.48,-73.781
146.73,-73.209
146.97,-73.167
147.22,-72.976
147.46,-72.597
147.71,-72.881
147.95,-72.098
148.19,-69.902
148.44,-61.922
148.68,-70.032
148.93,-69.490
149.17,-72.365
149.41,-71.508
149.66,-70.569
149.90,-70.508
150.15,-70.253
150.39,-70.267
150.63,-72.340
150.88,-68.751
151.12,-69.374
151.37,-70.198
151.61,-69.801
151.86,-67.178
152.10,-68.035
152.34,-66.223
152.59,-69.375
152.83,-68.752
153.08,-70.667
153.32,-69.463
153.56,-72.826
153.81,-70.245
154.05,-69.832
154.30,-67.933
154.54,-68.702
154.79,-69.023
155.03,-68.729
155.27,-71.100
155.52,-72.697
155.76,-72.196
