Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-27 17:57:37.4,-0.0,25.6,96.8,25.2,15.9
2026-03-27 17:57:37.6,0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:37.6,0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:37.9,0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.0,0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.1,0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.1,0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.7,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.8,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:38.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:39.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:39.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:39.2,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:39.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:39.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:39.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:39.7,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:39.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:57:40.0,-0.0,25.6,96.8,25.1,15.9
