Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.67,-93.182
1.35,-93.189
2.02,-92.336
2.69,-92.077
3.36,-92.075
4.04,-89.950
4.71,-90.027
5.38,-85.687
6.06,-85.975
6.73,-87.162
7.40,-87.484
8.07,-87.910
8.75,-85.258
9.42,-83.643
10.09,-81.412
10.77,-80.874
11.44,-82.488
12.11,-82.108
12.79,-81.252
13.46,-79.515
14.13,-79.093
14.80,-76.399
15.48,-76.776
16.15,-74.790
16.82,-81.390
17.50,-80.407
18.17,-79.665
18.84,-78.244
19.51,-79.063
20.19,-80.135
20.86,-79.788
21.53,-81.484
22.21,-82.272
22.88,-81.504
23.55,-80.439
24.22,-79.169
24.90,-77.311
25.57,-77.019
26.24,-74.530
26.92,-74.630
27.59,-72.610
28.26,-69.310
28.94,-63.646
29.61,-65.985
30.28,-72.446
30.95,-71.092
31.63,-63.787
32.30,-69.717
32.97,-71.795
33.65,-68.453
34.32,-66.174
34.99,-64.060
35.66,-70.286
36.34,-71.529
37.01,-72.588
37.68,-74.079
38.36,-74.308
39.03,-74.237
39.70,-73.622
40.37,-75.404
41.05,-75.219
41.72,-74.217
42.39,-73.047
43.07,-69.394
43.74,-68.997
44.41,-71.128
45.09,-70.870
45.76,-73.751
46.43,-74.639
47.10,-74.174
47.78,-72.547
48.45,-73.194
49.12,-73.923
49.80,-72.934
50.47,-75.170
51.14,-73.518
51.81,-74.892
52.49,-72.330
53.16,-74.143
53.83,-74.119
54.51,-73.965
55.18,-74.446
55.85,-73.587
56.52,-73.896
57.20,-74.011
57.87,-70.371
58.54,-68.300
59.22,-69.236
59.89,-76.168
60.56,-76.448
61.24,-77.614
61.91,-76.879
62.58,-75.746
63.25,-72.330
63.93,-71.242
64.60,-73.812
65.27,-75.309
65.95,-75.419
66.62,-73.906
67.29,-73.906
67.96,-72.515
68.64,-72.646
69.31,-72.176
69.98,-73.575
70.66,-75.179
71.33,-76.182
72.00,-74.355
72.67,-75.049
73.35,-75.806
74.02,-77.789
74.69,-77.435
75.37,-75.553
76.04,-76.964
76.71,-76.204
77.38,-77.115
78.06,-77.678
78.73,-76.929
79.40,-75.154
80.08,-75.065
80.75,-73.756
81.42,-75.008
82.10,-74.571
82.77,-76.295
83.44,-79.387
84.11,-76.182
84.79,-76.570
85.46,-77.419
86.13,-75.490
86.81,-76.490
87.48,-75.417
88.15,-75.862
88.82,-69.980
89.50,-75.171
90.17,-74.599
90.84,-74.595
91.52,-74.551
92.19,-75.009
92.86,-74.062
93.53,-68.758
94.21,-74.458
94.88,-75.593
95.55,-76.146
96.23,-76.037
96.90,-75.559
97.57,-76.089
98.25,-75.287
98.92,-74.991
99.59,-77.273
100.26,-76.302
100.94,-76.200
101.61,-75.812
102.28,-73.797
102.96,-74.287
103.63,-73.985
104.30,-72.279
104.97,-72.418
105.65,-72.587
106.32,-70.757
106.99,-72.438
107.67,-72.686
108.34,-73.220
109.01,-73.036
109.68,-72.479
110.36,-71.791
111.03,-71.178
111.70,-71.799
112.38,-69.676
113.05,-66.500
113.72,-70.345
114.40,-70.653
115.07,-70.730
115.74,-70.512
116.41,-68.984
117.09,-69.103
117.76,-67.016
118.43,-63.931
119.11,-59.670
119.78,-47.552
120.45,-54.714
121.12,-62.115
121.80,-65.305
122.47,-63.880
123.14,-67.815
123.82,-70.266
124.49,-71.674
125.16,-73.680
125.83,-71.653
126.51,-71.487
127.18,-72.522
127.85,-65.619
128.53,-69.961
129.20,-69.301
129.87,-67.916
130.55,-66.285
131.22,-64.351
131.89,-60.223
132.56,-49.471
133.24,-52.516
133.91,-58.246
134.58,-64.122
135.26,-66.825
135.93,-69.080
136.60,-70.025
137.27,-71.087
137.95,-70.484
138.62,-70.177
139.29,-70.468
139.97,-70.023
140.64,-70.545
141.31,-69.740
141.98,-69.813
142.66,-71.203
143.33,-70.698
144.00,-72.400
144.68,-70.710
145.35,-70.359
146.02,-69.636
146.69,-67.529
147.37,-67.108
148.04,-65.352
148.71,-63.231
149.39,-66.846
150.06,-65.163
150.73,-65.371
151.41,-64.463
152.08,-65.611
152.75,-66.638
153.42,-64.979
154.10,-66.051
154.77,-66.251
155.44,-68.282
156.12,-69.224
156.79,-67.838
157.46,-68.922
158.13,-68.415
158.81,-68.698
159.48,-59.210
160.15,-68.970
160.83,-68.684
161.50,-69.079
162.17,-70.589
162.84,-69.891
163.52,-69.159
164.19,-68.796
164.86,-69.059
165.54,-68.599
166.21,-69.004
166.88,-68.712
167.56,-69.314
168.23,-70.366
168.90,-68.617
169.57,-69.959
170.25,-69.590
170.92,-69.407
171.59,-70.352
172.27,-70.689
172.94,-67.743
173.61,-71.069
174.28,-71.459
174.96,-73.680
175.63,-74.043
176.30,-75.145
176.98,-72.492
177.65,-71.099
178.32,-71.275
178.99,-71.228
179.67,-70.366
180.34,-70.690
181.01,-71.562
181.69,-73.025
182.36,-74.269
183.03,-73.179
183.71,-72.794
184.38,-71.617
185.05,-70.770
185.72,-70.335
186.40,-71.743
187.07,-69.711
187.74,-70.148
188.42,-71.417
189.09,-71.167
189.76,-70.348
190.43,-71.717
191.11,-71.021
191.78,-71.774
192.45,-72.001
193.13,-74.400
193.80,-74.600
194.47,-74.456
195.14,-74.538
195.82,-75.132
196.49,-73.455
197.16,-73.780
197.84,-74.952
198.51,-75.229
199.18,-74.761
199.86,-71.495
200.53,-76.066
201.20,-76.476
201.87,-75.922
202.55,-74.991
203.22,-75.601
203.89,-74.867
204.57,-74.072
205.24,-72.999
205.91,-73.880
206.58,-74.444
207.26,-72.579
207.93,-61.876
208.60,-74.202
209.28,-74.687
209.95,-75.010
210.62,-75.364
211.29,-74.972
211.97,-73.745
212.64,-74.415
213.31,-71.361
213.99,-75.318
214.66,-73.681
215.33,-74.580
216.00,-74.783
216.68,-76.275
217.35,-78.146
218.02,-77.934
218.70,-77.615
219.37,-77.032
220.04,-75.344
220.72,-75.761
221.39,-74.839
222.06,-74.249
222.73,-75.146
223.41,-75.470
224.08,-75.337
224.75,-74.807
225.43,-76.152
226.10,-73.015
226.77,-75.777
227.44,-77.678
228.12,-77.603
228.79,-76.774
229.46,-77.546
230.14,-75.766
230.81,-76.299
231.48,-74.074
232.15,-74.241
232.83,-74.951
233.50,-74.482
234.17,-76.317
234.85,-76.239
235.52,-76.289
236.19,-74.722
236.87,-73.040
237.54,-73.289
238.21,-70.902
238.88,-63.585
239.56,-63.863
240.23,-61.555
240.90,-69.439
241.58,-71.036
242.25,-73.281
242.92,-73.471
243.59,-73.667
244.27,-75.017
244.94,-75.923
245.61,-76.880
246.29,-77.653
246.96,-79.670
247.63,-77.619
248.30,-76.975
248.98,-76.575
249.65,-76.171
250.32,-75.547
251.00,-74.036
251.67,-73.212
252.34,-72.981
253.02,-70.063
253.69,-73.867
254.36,-75.438
255.03,-76.972
255.71,-77.004
256.38,-77.568
257.05,-77.081
257.73,-77.398
258.40,-78.131
259.07,-77.839
259.74,-80.283
260.42,-78.653
261.09,-79.052
261.76,-77.604
262.44,-78.647
263.11,-79.886
263.78,-80.593
264.45,-80.544
265.13,-79.764
265.80,-74.705
266.47,-80.825
267.15,-71.343
267.82,-80.793
268.49,-79.298
269.17,-80.443
269.84,-81.571
270.51,-80.531
271.18,-79.750
271.86,-79.417
272.53,-80.423
273.20,-81.758
273.88,-82.333
274.55,-81.671
275.22,-81.681
275.89,-81.255
276.57,-82.956
277.24,-82.296
277.91,-81.894
278.59,-78.935
279.26,-72.151
279.93,-78.839
280.60,-79.608
281.28,-81.516
281.95,-79.821
282.62,-81.780
283.30,-81.127
283.97,-83.479
284.64,-83.997
285.31,-82.231
285.99,-83.308
286.66,-81.976
287.33,-83.905
288.01,-83.131
288.68,-83.748
289.35,-82.412
290.03,-83.068
290.70,-82.008
291.37,-82.496
292.04,-81.589
292.72,-81.972
293.39,-80.420
294.06,-81.179
294.74,-81.374
295.41,-82.583
296.08,-80.506
296.75,-79.985
297.43,-82.705
298.10,-82.922
298.77,-82.513
299.45,-82.147
300.12,-82.062
300.79,-82.465
301.46,-80.738
302.14,-81.439
302.81,-81.946
303.48,-80.887
304.16,-81.575
304.83,-79.999
305.50,-80.744
306.18,-81.758
306.85,-81.396
307.52,-82.318
308.19,-82.551
308.87,-82.879
309.54,-82.251
310.21,-80.156
310.89,-81.689
311.56,-79.995
312.23,-82.801
312.90,-81.644
313.58,-84.709
314.25,-84.039
314.92,-84.691
315.60,-84.403
316.27,-84.249
316.94,-83.686
317.61,-83.042
318.29,-83.386
318.96,-83.651
319.63,-84.261
320.31,-84.427
320.98,-85.164
321.65,-83.237
322.33,-83.975
323.00,-84.894
323.67,-85.158
324.34,-84.567
325.02,-85.144
325.69,-84.489
326.36,-84.501
327.04,-84.127
327.71,-84.978
328.38,-85.119
329.05,-86.134
329.73,-83.546
330.40,-83.980
331.07,-82.875
331.75,-81.539
332.42,-82.811
333.09,-84.784
333.76,-85.090
334.44,-86.179
335.11,-85.960
335.78,-85.482
336.46,-87.038
337.13,-86.357
337.80,-84.828
338.48,-85.864
339.15,-85.908
339.82,-86.537
340.49,-86.962
341.17,-87.273
341.84,-87.187
342.51,-85.597
343.19,-85.009
343.86,-86.945
344.53,-86.806
345.20,-84.897
345.88,-85.574
346.55,-84.349
347.22,-85.357
347.90,-83.694
348.57,-83.595
349.24,-83.274
349.91,-84.507
350.59,-84.515
351.26,-84.729
351.93,-85.656
352.61,-85.139
353.28,-84.811
353.95,-85.051
354.62,-85.418
355.30,-84.153
355.97,-80.465
356.64,-80.985
357.32,-84.743
357.99,-83.330
358.66,-83.226
359.34,-82.621
360.01,-78.325
360.68,-80.443
361.35,-82.502
362.03,-84.330
362.70,-85.855
363.37,-85.129
364.05,-84.007
364.72,-83.648
365.39,-82.062
366.06,-81.429
366.74,-81.997
