Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-27 18:00:14.8,1.7,25.5,96.8,25.0,15.1
2026-03-27 18:00:14.8,1.7,25.5,96.8,25.0,15.1
2026-03-27 18:00:14.9,1.7,25.5,96.8,25.0,15.1
2026-03-27 18:00:14.9,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.0,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.0,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.1,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.1,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.2,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.2,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.3,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.3,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.4,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.5,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.6,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.6,0.0,25.5,96.8,25.0,15.1
2026-03-27 18:00:15.9,0.0,25.5,96.8,24.9,15.0
2026-03-27 18:00:16.0,0.0,25.5,96.8,24.9,15.0
2026-03-27 18:00:16.1,0.0,25.5,96.8,24.9,15.0
2026-03-27 18:00:16.1,0.0,25.5,96.8,24.9,15.0
2026-03-27 18:00:16.2,0.0,25.5,96.8,24.9,15.0
2026-03-27 18:00:16.2,0.0,25.5,96.8,24.9,15.0
2026-03-27 18:00:16.3,0.0,25.5,96.8,24.9,15.0
2026-03-27 18:00:16.4,0.0,25.5,96.8,24.9,15.0
2026-03-27 18:00:16.4,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:16.5,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:16.5,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:16.6,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:16.7,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:16.8,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:16.8,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:16.9,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.0,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.1,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.2,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.3,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.3,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.4,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.6,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.6,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:17.9,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.0,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.1,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.1,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.2,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.3,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.4,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.4,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.5,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.5,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:18.6,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:18.6,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:18.7,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:18.8,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:18.9,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:18.9,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:19.0,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:19.1,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:19.2,0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:19.3,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:19.4,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:19.5,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:19.6,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:19.7,-0.0,25.5,96.8,25.0,15.0
2026-03-27 18:00:20.0,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:20.1,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:20.2,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:20.3,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:20.3,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:20.4,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:20.4,-0.0,25.5,96.8,25.1,15.0
2026-03-27 18:00:20.5,-0.0,25.5,96.8,25.1,15.0
