Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.49,-94.601
0.98,-94.724
1.46,-94.199
1.95,-93.581
2.44,-94.277
2.93,-93.607
3.42,-93.385
3.91,-92.661
4.39,-91.296
4.88,-90.637
5.37,-88.981
5.86,-89.576
6.35,-89.481
6.84,-91.128
7.32,-90.563
7.81,-90.961
8.30,-88.559
8.79,-87.747
9.28,-86.767
9.77,-84.778
10.25,-84.660
10.74,-80.495
11.23,-83.305
11.72,-84.296
12.21,-84.235
12.70,-84.414
13.18,-80.977
13.67,-79.442
14.16,-83.638
14.65,-80.920
15.14,-77.384
15.62,-78.278
16.11,-77.089
16.60,-84.089
17.09,-84.853
17.58,-83.789
18.07,-82.277
18.55,-82.725
19.04,-82.268
19.53,-82.140
20.02,-81.657
20.51,-78.654
21.00,-84.640
21.48,-82.771
21.97,-82.996
22.46,-82.380
22.95,-82.881
23.44,-81.502
23.93,-80.911
24.41,-80.906
24.90,-79.497
25.39,-79.242
25.88,-79.232
26.37,-72.999
26.86,-74.338
27.34,-75.186
27.83,-76.430
28.32,-72.257
28.81,-62.158
29.30,-70.646
29.79,-63.954
30.27,-74.388
30.76,-74.982
31.25,-74.764
31.74,-64.044
32.23,-73.751
32.71,-74.325
33.20,-72.850
33.69,-72.174
34.18,-68.557
34.67,-60.807
35.16,-69.377
35.64,-72.427
36.13,-72.952
36.62,-74.182
37.11,-76.273
37.60,-71.761
38.09,-68.556
38.57,-62.332
39.06,-61.700
39.55,-68.792
40.04,-72.289
40.53,-75.613
41.02,-74.955
41.50,-74.919
41.99,-75.009
42.48,-75.463
42.97,-71.608
43.46,-72.067
43.95,-74.392
44.43,-74.053
44.92,-73.580
45.41,-73.372
45.90,-76.688
46.39,-78.382
46.88,-76.275
47.36,-75.949
47.85,-73.844
48.34,-76.517
48.83,-75.716
49.32,-73.946
49.80,-74.160
50.29,-70.462
50.78,-70.443
51.27,-71.892
51.76,-66.314
52.25,-70.897
52.73,-73.257
53.22,-75.021
53.71,-75.280
54.20,-75.667
54.69,-73.937
55.18,-75.856
55.66,-76.749
56.15,-76.397
56.64,-76.259
57.13,-77.319
57.62,-72.444
58.11,-71.599
58.59,-67.831
59.08,-69.583
59.57,-69.389
60.06,-74.009
60.55,-75.574
61.04,-76.363
61.52,-73.913
62.01,-76.354
62.50,-76.965
62.99,-77.793
63.48,-68.283
63.96,-76.349
64.45,-76.076
64.94,-75.809
65.43,-75.352
65.92,-76.214
66.41,-75.606
66.89,-75.907
67.38,-75.111
67.87,-73.108
68.36,-70.703
68.85,-71.906
69.34,-70.024
69.82,-72.511
70.31,-71.263
70.80,-75.228
71.29,-75.766
71.78,-74.260
72.27,-74.547
72.75,-74.290
73.24,-76.425
73.73,-75.142
74.22,-77.632
74.71,-77.949
75.20,-75.693
75.68,-76.278
76.17,-76.519
76.66,-77.521
77.15,-76.290
77.64,-76.762
78.12,-77.192
78.61,-76.299
79.10,-76.568
79.59,-73.507
80.08,-74.927
80.57,-74.675
81.05,-74.870
81.54,-74.179
82.03,-73.685
82.52,-75.346
83.01,-77.310
83.50,-76.889
83.98,-76.819
84.47,-76.381
84.96,-76.778
85.45,-76.713
85.94,-77.181
86.43,-76.346
86.91,-76.096
87.40,-75.364
87.89,-75.226
88.38,-77.297
88.87,-68.668
89.36,-75.048
89.84,-74.062
90.33,-74.893
90.82,-74.928
91.31,-74.172
91.80,-74.339
92.29,-74.919
92.77,-75.749
93.26,-71.158
93.75,-66.002
94.24,-76.217
94.73,-75.576
95.21,-75.104
95.70,-76.204
96.19,-77.495
96.68,-77.057
97.17,-75.183
97.66,-76.493
98.14,-77.234
98.63,-75.888
99.12,-75.454
99.61,-76.344
100.10,-76.940
100.59,-76.172
101.07,-77.159
101.56,-73.759
102.05,-74.510
102.54,-73.932
103.03,-73.024
103.52,-72.360
104.00,-71.851
104.49,-70.895
104.98,-72.348
105.47,-72.056
105.96,-72.807
106.45,-67.073
106.93,-71.843
107.42,-71.688
107.91,-72.575
108.40,-72.552
108.89,-71.083
109.38,-74.016
109.86,-72.425
110.35,-74.040
110.84,-71.539
111.33,-71.084
111.82,-70.149
112.30,-70.274
112.79,-65.915
113.28,-67.585
113.77,-68.270
114.26,-70.348
114.75,-70.970
115.23,-70.751
115.72,-71.623
116.21,-69.358
116.70,-70.179
117.19,-69.683
117.68,-69.223
118.16,-68.542
118.65,-64.067
119.14,-63.468
119.63,-58.421
120.12,-44.332
120.61,-61.196
121.09,-65.638
121.58,-67.298
122.07,-64.412
122.56,-65.345
123.05,-68.904
123.54,-70.635
124.02,-72.723
124.51,-73.491
125.00,-73.878
125.49,-72.831
125.98,-72.697
126.46,-72.694
126.95,-72.758
127.44,-71.900
127.93,-65.489
128.42,-69.346
128.91,-70.332
129.39,-71.861
129.88,-69.287
130.37,-68.502
130.86,-67.924
131.35,-64.849
131.84,-63.079
132.32,-59.158
132.81,-46.453
133.30,-53.725
133.79,-56.638
134.28,-64.173
134.77,-66.443
135.25,-68.007
135.74,-69.741
136.23,-70.819
136.72,-72.526
137.21,-71.017
137.70,-70.669
138.18,-72.119
138.67,-70.077
139.16,-69.297
139.65,-70.284
140.14,-71.340
140.62,-69.773
141.11,-70.035
141.60,-69.996
142.09,-70.712
142.58,-71.207
143.07,-70.233
143.55,-69.769
144.04,-70.487
144.53,-70.403
145.02,-70.493
145.51,-70.338
146.00,-70.104
146.48,-68.212
146.97,-69.741
147.46,-68.990
147.95,-69.107
148.44,-62.666
148.93,-66.506
149.41,-67.200
149.90,-67.843
150.39,-66.863
150.88,-66.093
151.37,-65.657
151.86,-67.151
152.34,-65.889
152.83,-64.711
153.32,-67.320
153.81,-67.230
154.30,-66.379
