Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-17 19:18:13.2,-0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:13.8,-0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:13.8,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:13.9,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:13.9,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:14.0,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:14.2,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:15.3,0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:15.8,0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:15.8,0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:15.9,0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:15.9,0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:16.0,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:16.3,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:17.4,0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:17.8,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:17.8,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:17.9,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:17.9,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:18.0,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:18.4,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:19.5,-0.0,25.3,96.9,24.9,29.7
2026-03-17 19:18:19.8,-0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:19.8,-0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:19.9,-0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:19.9,-0.0,25.3,96.9,25.0,29.7
2026-03-17 19:18:20.0,-0.0,25.3,96.9,25.0,29.7
