Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.67,-91.454
1.35,-91.306
2.02,-89.982
2.69,-89.854
3.36,-89.630
4.04,-88.395
4.71,-87.490
5.38,-87.277
6.06,-86.188
6.73,-86.473
7.40,-86.294
8.07,-86.624
8.75,-84.972
9.42,-84.915
10.09,-83.122
10.77,-82.789
11.44,-82.491
12.11,-83.143
12.79,-82.118
13.46,-81.017
14.13,-81.708
14.80,-80.146
15.48,-81.314
16.15,-82.254
16.82,-83.396
17.50,-83.704
18.17,-83.762
18.84,-81.965
19.51,-81.406
20.19,-81.886
20.86,-81.828
21.53,-82.886
22.21,-82.397
22.88,-82.096
23.55,-81.275
24.22,-81.371
24.90,-80.395
25.57,-80.238
26.24,-78.586
26.92,-76.672
27.59,-76.537
28.26,-74.081
28.94,-64.742
29.61,-63.528
30.28,-74.940
30.95,-73.756
31.63,-75.589
32.30,-72.890
32.97,-72.285
33.65,-70.853
34.32,-66.613
34.99,-65.571
35.66,-72.124
36.34,-72.263
37.01,-72.918
37.68,-75.436
38.36,-76.127
39.03,-77.006
39.70,-75.950
40.37,-78.205
41.05,-77.319
41.72,-75.414
42.39,-75.022
43.07,-74.729
43.74,-75.219
44.41,-73.985
45.09,-75.261
45.76,-75.714
46.43,-76.795
47.10,-73.894
47.78,-75.606
48.45,-75.077
49.12,-75.047
49.80,-75.384
50.47,-74.904
51.14,-74.794
51.81,-74.701
52.49,-71.948
53.16,-71.757
53.83,-73.092
54.51,-73.476
55.18,-73.472
55.85,-73.390
56.52,-74.344
57.20,-74.190
57.87,-72.321
58.54,-69.110
59.22,-68.980
59.89,-72.102
60.56,-73.913
61.24,-73.938
61.91,-72.171
62.58,-72.920
63.25,-74.813
63.93,-73.520
64.60,-74.006
65.27,-73.683
65.95,-72.429
66.62,-72.720
67.29,-71.931
67.96,-71.071
68.64,-72.503
69.31,-71.653
69.98,-72.428
70.66,-73.142
71.33,-73.041
72.00,-72.202
72.67,-72.103
73.35,-72.937
74.02,-73.416
74.69,-72.601
75.37,-73.488
76.04,-73.615
76.71,-72.754
77.38,-72.625
78.06,-72.674
78.73,-72.869
79.40,-72.320
80.08,-72.506
80.75,-72.783
81.42,-72.072
82.10,-72.869
82.77,-72.705
83.44,-73.331
84.11,-72.651
84.79,-71.803
85.46,-72.317
86.13,-73.597
86.81,-72.238
87.48,-72.029
88.15,-72.242
88.82,-73.130
89.50,-72.420
90.17,-72.075
90.84,-71.837
91.52,-72.255
92.19,-71.572
92.86,-73.062
93.53,-72.955
94.21,-73.540
94.88,-73.291
95.55,-72.001
96.23,-72.386
96.90,-73.872
97.57,-72.952
98.25,-74.290
98.92,-73.384
99.59,-73.567
100.26,-73.978
100.94,-73.395
101.61,-74.592
102.28,-74.567
102.96,-74.581
103.63,-74.216
104.30,-73.201
104.97,-71.712
105.65,-72.877
106.32,-73.390
106.99,-73.585
107.67,-72.515
108.34,-72.529
109.01,-73.409
109.68,-73.273
110.36,-72.957
111.03,-73.714
111.70,-73.015
112.38,-73.635
113.05,-72.938
113.72,-72.451
114.40,-73.962
115.07,-74.602
115.74,-73.973
116.41,-72.689
117.09,-73.012
117.76,-73.670
118.43,-72.039
119.11,-70.983
119.78,-64.612
120.45,-68.169
121.12,-72.338
121.80,-72.987
122.47,-73.393
123.14,-74.108
123.82,-74.481
124.49,-72.806
125.16,-72.756
125.83,-71.956
126.51,-72.463
127.18,-73.777
127.85,-72.351
128.53,-73.290
129.20,-74.730
129.87,-74.159
130.55,-73.498
131.22,-73.883
131.89,-73.886
132.56,-72.799
133.24,-72.613
133.91,-71.371
134.58,-72.784
135.26,-74.215
135.93,-74.870
136.60,-74.643
137.27,-74.315
137.95,-73.049
138.62,-73.031
139.29,-73.731
139.97,-74.266
140.64,-74.149
141.31,-74.892
141.98,-72.921
142.66,-74.319
143.33,-73.213
144.00,-74.970
144.68,-73.831
145.35,-73.935
146.02,-73.935
146.69,-73.054
147.37,-73.877
148.04,-72.494
148.71,-73.489
149.39,-74.544
150.06,-72.915
150.73,-73.264
151.41,-72.993
152.08,-73.876
152.75,-74.057
153.42,-73.867
154.10,-73.215
154.77,-74.625
155.44,-74.306
156.12,-74.070
156.79,-73.842
157.46,-72.004
158.13,-73.366
158.81,-74.061
159.48,-74.406
160.15,-73.030
160.83,-74.394
161.50,-75.051
162.17,-73.463
162.84,-73.432
163.52,-75.753
164.19,-73.294
164.86,-74.394
165.54,-73.559
166.21,-73.712
166.88,-74.180
167.56,-72.849
168.23,-73.171
168.90,-74.348
169.57,-75.013
170.25,-75.475
170.92,-75.428
171.59,-73.715
172.27,-73.950
172.94,-73.431
173.61,-74.117
174.28,-73.210
174.96,-73.843
175.63,-72.212
176.30,-73.151
176.98,-74.491
177.65,-74.072
178.32,-73.527
178.99,-74.384
179.67,-74.728
180.34,-75.061
181.01,-74.265
181.69,-74.845
182.36,-73.607
183.03,-74.319
183.71,-74.005
184.38,-74.620
185.05,-73.158
185.72,-72.966
186.40,-73.730
187.07,-74.668
187.74,-74.156
188.42,-74.418
189.09,-73.532
189.76,-74.003
190.43,-73.310
191.11,-71.699
191.78,-74.537
192.45,-74.382
193.13,-73.475
193.80,-73.450
194.47,-72.633
195.14,-75.389
195.82,-74.348
196.49,-76.000
197.16,-73.752
197.84,-72.825
198.51,-73.113
199.18,-74.549
199.86,-73.449
200.53,-74.381
201.20,-73.434
201.87,-74.235
202.55,-74.103
203.22,-74.869
203.89,-76.071
204.57,-75.416
205.24,-75.047
205.91,-75.690
206.58,-73.526
207.26,-72.839
207.93,-73.252
208.60,-73.767
209.28,-72.849
209.95,-74.270
210.62,-75.347
211.29,-74.757
211.97,-74.322
212.64,-75.579
213.31,-74.370
213.99,-75.295
214.66,-73.896
215.33,-74.202
216.00,-74.084
216.68,-73.125
217.35,-73.944
218.02,-74.629
218.70,-73.619
219.37,-74.737
220.04,-73.732
