Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-27 17:44:07.6,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:07.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.3,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.3,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.5,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.7,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.8,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:08.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:09.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:09.2,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:09.3,0.0,25.6,96.8,25.0,15.8
2026-03-27 17:44:09.6,0.0,25.6,96.8,25.0,15.8
2026-03-27 17:44:09.9,0.0,25.6,96.8,25.0,15.8
2026-03-27 17:44:10.0,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.1,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.3,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.4,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.4,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.5,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.5,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.7,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.8,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:10.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:11.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:11.2,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:11.5,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:11.6,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.0,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.0,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.1,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.3,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.5,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.5,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.7,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.8,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:12.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:13.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:13.2,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:13.6,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:13.6,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:13.9,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.0,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.1,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.3,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.5,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.7,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.7,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.8,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:14.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:15.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:15.2,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:15.6,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:15.7,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:15.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.0,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.3,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.5,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.7,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.8,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.8,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.9,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:16.9,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:17.1,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:17.2,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:17.6,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:17.8,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:17.9,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:18.1,0.0,25.6,96.8,25.2,15.7
2026-03-27 17:44:18.1,0.0,25.6,96.8,25.2,15.7
2026-03-27 17:44:18.3,0.0,25.6,96.8,25.2,15.7
2026-03-27 17:44:18.4,0.0,25.6,96.8,25.2,15.7
2026-03-27 17:44:18.4,0.0,25.6,96.8,25.2,15.7
2026-03-27 17:44:18.5,0.0,25.6,96.8,25.2,15.7
2026-03-27 17:44:18.7,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:18.8,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:18.9,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:18.9,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:19.0,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:19.1,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:19.2,0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:19.6,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:19.9,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:20.0,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:20.1,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:20.1,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:20.3,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:20.4,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:20.4,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:20.5,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:20.7,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:20.8,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:20.9,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:20.9,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:21.1,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:21.1,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:21.2,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:21.6,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:21.9,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:22.0,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:22.1,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:22.2,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:22.3,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:22.4,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:22.4,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:22.5,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:22.7,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:22.8,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:22.9,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:22.9,0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:23.1,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:23.2,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:23.2,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:23.6,-0.0,25.6,96.8,25.1,15.7
2026-03-27 17:44:23.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:24.0,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:44:24.1,-0.0,25.6,96.8,25.1,15.8
