Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.49,-95.049
0.98,-95.080
1.46,-94.870
1.95,-94.370
2.44,-94.445
2.93,-93.353
3.42,-93.357
3.91,-92.444
4.39,-92.777
4.88,-90.814
5.37,-89.271
5.86,-88.704
6.35,-89.475
6.84,-91.205
7.32,-90.413
7.81,-90.307
8.30,-88.904
8.79,-87.275
9.28,-85.943
9.77,-84.592
10.25,-84.321
10.74,-84.019
11.23,-84.115
11.72,-85.787
12.21,-83.424
12.70,-82.643
13.18,-79.227
13.67,-79.423
14.16,-82.055
14.65,-81.246
15.14,-79.314
15.62,-77.971
16.11,-76.494
16.60,-82.220
17.09,-83.516
17.58,-81.656
18.07,-81.312
18.55,-82.380
19.04,-81.959
19.53,-81.866
20.02,-80.091
20.51,-78.831
21.00,-82.577
21.48,-84.272
21.97,-84.189
22.46,-84.064
22.95,-84.051
23.44,-82.789
23.93,-82.206
24.41,-79.797
24.90,-79.157
25.39,-78.769
25.88,-75.645
26.37,-74.035
26.86,-75.168
27.34,-74.814
27.83,-75.161
28.32,-71.215
28.81,-61.611
29.30,-65.968
29.79,-60.310
30.27,-70.718
30.76,-72.311
31.25,-73.004
31.74,-63.127
32.23,-71.511
32.71,-72.429
33.20,-72.103
33.69,-72.341
34.18,-70.707
34.67,-62.731
35.16,-66.963
35.64,-71.629
36.13,-72.170
36.62,-73.696
37.11,-74.996
37.60,-75.114
38.09,-76.166
38.57,-76.085
39.06,-77.017
39.55,-73.726
40.04,-77.646
40.53,-77.545
41.02,-77.103
41.50,-77.192
41.99,-75.956
42.48,-73.877
42.97,-73.435
43.46,-72.968
43.95,-73.041
44.43,-74.377
44.92,-72.140
45.41,-74.636
45.90,-77.700
46.39,-78.813
46.88,-78.193
47.36,-79.180
47.85,-74.197
48.34,-76.014
48.83,-75.697
49.32,-76.501
49.80,-76.562
50.29,-75.164
50.78,-75.077
51.27,-74.922
51.76,-72.203
52.25,-72.827
52.73,-73.580
53.22,-72.849
53.71,-76.573
54.20,-73.966
54.69,-75.694
55.18,-75.203
55.66,-75.990
56.15,-76.084
56.64,-77.859
57.13,-76.061
57.62,-72.562
58.11,-70.040
58.59,-68.649
59.08,-69.864
59.57,-75.466
60.06,-77.503
60.55,-77.878
61.04,-78.398
61.52,-77.492
62.01,-76.464
62.50,-77.300
62.99,-76.451
63.48,-68.950
63.96,-74.395
64.45,-74.342
64.94,-76.524
65.43,-77.233
65.92,-76.700
66.41,-74.980
66.89,-73.113
67.38,-73.031
67.87,-74.774
68.36,-74.504
68.85,-72.584
69.34,-71.250
69.82,-73.453
70.31,-73.194
70.80,-73.483
71.29,-74.665
71.78,-76.621
72.27,-75.250
72.75,-75.688
73.24,-76.664
73.73,-75.625
74.22,-76.121
74.71,-75.947
75.20,-78.010
75.68,-75.408
76.17,-77.353
76.66,-78.031
77.15,-77.399
77.64,-76.702
78.12,-75.472
78.61,-77.244
79.10,-76.098
79.59,-74.623
80.08,-75.018
80.57,-74.852
81.05,-75.800
81.54,-75.374
82.03,-75.955
82.52,-75.159
83.01,-77.316
83.50,-76.790
83.98,-76.598
84.47,-75.756
84.96,-76.915
85.45,-78.349
85.94,-77.299
86.43,-78.237
86.91,-78.352
87.40,-77.245
87.89,-77.577
88.38,-76.835
88.87,-67.401
89.36,-74.628
89.84,-75.584
90.33,-74.691
90.82,-75.808
91.31,-74.012
91.80,-72.717
92.29,-76.082
92.77,-72.269
93.26,-69.719
93.75,-67.098
94.24,-74.522
94.73,-75.238
95.21,-75.577
95.70,-77.680
96.19,-77.290
96.68,-76.806
97.17,-77.318
97.66,-77.034
98.14,-75.147
98.63,-76.433
99.12,-75.074
99.61,-75.476
100.10,-74.081
100.59,-73.364
101.07,-74.416
101.56,-74.520
102.05,-72.474
102.54,-74.250
103.03,-75.125
103.52,-72.735
104.00,-72.768
104.49,-73.274
104.98,-71.756
105.47,-71.419
105.96,-71.542
106.45,-70.185
106.93,-73.277
107.42,-72.534
107.91,-71.886
108.40,-72.973
108.89,-71.753
109.38,-71.921
109.86,-70.774
110.35,-71.998
110.84,-70.836
111.33,-69.284
111.82,-68.775
112.30,-70.248
112.79,-68.022
113.28,-64.007
113.77,-66.505
114.26,-68.520
114.75,-69.454
115.23,-69.401
115.72,-69.932
116.21,-68.748
116.70,-68.712
117.19,-68.336
117.68,-67.196
118.16,-64.345
118.65,-61.650
119.14,-58.915
119.63,-51.483
120.12,-44.957
120.61,-57.258
121.09,-61.862
121.58,-64.087
122.07,-62.905
122.56,-64.204
123.05,-66.719
123.54,-68.796
124.02,-71.256
124.51,-71.655
125.00,-72.277
125.49,-72.643
125.98,-71.487
126.46,-72.102
126.95,-72.738
127.44,-71.759
127.93,-63.237
128.42,-70.157
128.91,-71.938
129.39,-71.492
129.88,-70.465
130.37,-69.587
130.86,-69.610
131.35,-69.478
131.84,-68.148
132.32,-65.010
132.81,-45.217
133.30,-60.650
133.79,-56.644
134.28,-65.887
134.77,-67.566
135.25,-69.989
135.74,-71.647
136.23,-71.891
136.72,-71.790
137.21,-71.489
137.70,-73.649
138.18,-72.310
138.67,-70.710
139.16,-72.024
139.65,-70.926
140.14,-70.786
140.62,-71.699
141.11,-70.589
141.60,-70.691
142.09,-72.160
142.58,-73.003
143.07,-72.667
143.55,-72.396
144.04,-71.950
144.53,-68.767
145.02,-70.652
145.51,-70.449
146.00,-71.041
146.48,-70.297
146.97,-71.822
147.46,-68.556
147.95,-69.836
148.44,-61.101
148.93,-67.771
149.41,-65.884
149.90,-67.900
150.39,-66.651
150.88,-65.867
151.37,-67.458
151.86,-66.834
152.34,-68.170
152.83,-65.730
153.32,-65.257
153.81,-66.929
154.30,-67.079
154.79,-67.866
155.27,-69.439
155.76,-69.355
156.25,-69.565
156.74,-69.200
157.23,-70.574
157.71,-71.380
158.20,-70.535
158.69,-69.199
159.18,-61.258
159.67,-64.849
160.16,-69.316
160.64,-70.592
161.13,-70.944
161.62,-70.206
162.11,-70.507
162.60,-71.160
163.09,-70.601
163.57,-71.562
164.06,-70.309
164.55,-70.993
165.04,-70.820
165.53,-72.185
166.02,-71.168
166.50,-71.572
166.99,-71.995
167.48,-71.674
167.97,-69.915
168.46,-71.708
168.95,-73.045
169.43,-73.259
169.92,-70.142
170.41,-71.683
170.90,-72.775
171.39,-72.377
171.88,-72.884
172.36,-73.422
172.85,-70.657
173.34,-73.091
173.83,-73.829
174.32,-74.559
174.80,-76.259
175.29,-76.616
175.78,-75.443
176.27,-77.194
176.76,-76.259
177.25,-74.184
177.73,-74.200
178.22,-73.190
178.71,-72.432
179.20,-73.261
179.69,-72.764
180.18,-73.875
180.66,-73.491
181.15,-75.818
181.64,-74.881
182.13,-76.189
182.62,-75.191
183.11,-76.110
183.59,-75.595
184.08,-75.323
184.57,-74.303
185.06,-70.906
185.55,-72.456
186.04,-70.536
186.52,-71.735
187.01,-71.926
187.50,-74.047
187.99,-72.426
188.48,-73.082
188.96,-73.118
189.45,-72.434
189.94,-74.304
190.43,-75.333
190.92,-74.787
191.41,-73.331
191.89,-73.259
192.38,-74.456
192.87,-76.616
193.36,-77.460
193.85,-77.418
194.34,-78.178
194.82,-79.016
195.31,-78.984
195.80,-76.508
196.29,-79.751
196.78,-77.119
197.27,-76.485
197.75,-75.218
198.24,-75.918
198.73,-77.704
199.22,-76.875
199.71,-71.982
200.20,-79.119
200.68,-77.632
201.17,-79.046
201.66,-79.723
202.15,-80.259
202.64,-77.274
203.12,-77.930
203.61,-77.430
204.10,-77.211
204.59,-76.424
205.08,-76.324
205.57,-76.047
206.05,-75.035
206.54,-75.035
207.03,-74.003
207.52,-67.479
208.01,-64.985
208.50,-73.810
208.98,-76.416
209.47,-76.228
209.96,-78.997
210.45,-76.903
210.94,-76.671
211.43,-76.138
211.91,-76.400
212.40,-75.712
212.89,-76.193
213.38,-73.733
213.87,-74.690
214.36,-75.853
214.84,-76.740
215.33,-77.442
215.82,-78.831
216.31,-77.335
216.80,-78.947
217.29,-79.499
217.77,-79.758
218.26,-80.601
218.75,-79.936
219.24,-78.786
219.73,-78.519
220.21,-77.891
220.70,-77.015
221.19,-77.649
221.68,-73.714
222.17,-76.380
222.66,-76.070
223.14,-76.301
223.63,-76.045
224.12,-77.281
224.61,-78.053
225.10,-78.534
225.59,-76.788
226.07,-75.254
226.56,-77.941
227.05,-79.448
227.54,-81.303
228.03,-78.903
228.52,-79.243
229.00,-79.756
229.49,-80.224
229.98,-78.621
230.47,-78.656
230.96,-77.372
231.45,-76.111
231.93,-78.615
232.42,-77.715
232.91,-77.554
233.40,-78.176
233.89,-79.439
234.38,-78.039
234.86,-79.437
235.35,-79.686
235.84,-77.168
236.33,-76.669
236.82,-76.135
237.30,-75.647
237.79,-75.020
238.28,-73.318
238.77,-68.219
239.26,-66.685
239.75,-61.918
240.23,-66.131
240.72,-72.751
241.21,-74.032
241.70,-73.324
242.19,-74.931
242.68,-74.996
243.16,-75.586
243.65,-75.998
244.14,-77.066
244.63,-77.188
245.12,-76.647
245.61,-79.333
246.09,-79.080
246.58,-80.153
247.07,-79.333
247.56,-79.056
248.05,-78.486
248.54,-77.561
249.02,-78.173
249.51,-76.841
250.00,-76.961
250.49,-75.147
250.98,-76.519
251.46,-75.263
251.95,-74.005
252.44,-72.743
252.93,-70.696
253.42,-74.943
253.91,-76.058
254.39,-77.253
254.88,-78.230
255.37,-78.583
255.86,-78.338
256.35,-78.615
256.84,-79.359
257.32,-79.368
257.81,-80.015
258.30,-81.031
258.79,-79.912
259.28,-80.213
259.77,-82.023
260.25,-81.136
260.74,-81.526
261.23,-79.272
261.72,-79.615
262.21,-80.573
262.70,-80.945
263.18,-82.415
263.67,-82.774
264.16,-83.216
264.65,-83.283
265.14,-83.480
265.62,-74.595
266.11,-82.314
266.60,-81.574
267.09,-75.013
267.58,-80.719
268.07,-82.657
268.55,-83.338
269.04,-83.502
269.53,-83.939
270.02,-81.959
270.51,-82.299
271.00,-79.476
271.48,-81.828
271.97,-82.106
272.46,-81.728
272.95,-81.696
273.44,-83.489
273.93,-83.306
274.41,-85.059
274.90,-83.610
275.39,-83.301
275.88,-84.335
276.37,-84.035
276.86,-83.472
277.34,-82.902
277.83,-83.589
278.32,-81.454
278.81,-83.036
279.30,-72.228
279.79,-82.314
280.27,-80.549
280.76,-82.654
281.25,-83.511
281.74,-83.219
282.23,-81.524
282.71,-84.142
283.20,-84.022
283.69,-81.833
284.18,-82.881
284.67,-85.461
285.16,-84.972
285.64,-83.291
286.13,-83.491
286.62,-84.564
287.11,-83.436
287.60,-83.708
288.09,-82.214
288.57,-83.097
289.06,-83.000
289.55,-82.620
290.04,-84.385
290.53,-83.793
291.02,-82.928
291.50,-83.355
291.99,-81.940
292.48,-83.132
292.97,-80.457
293.46,-83.548
293.95,-82.255
294.43,-81.973
294.92,-83.399
295.41,-82.861
295.90,-81.286
296.39,-81.015
296.88,-80.691
297.36,-82.040
297.85,-82.388
298.34,-81.604
298.83,-81.219
299.32,-81.987
299.80,-84.042
300.29,-82.364
300.78,-82.829
301.27,-81.566
301.76,-81.919
302.25,-81.633
302.73,-82.774
303.22,-81.261
303.71,-83.320
304.20,-80.894
304.69,-81.083
305.18,-80.523
305.66,-82.794
306.15,-81.929
306.64,-83.200
307.13,-84.026
307.62,-84.059
308.11,-81.359
308.59,-83.350
309.08,-82.815
309.57,-82.164
310.06,-81.589
310.55,-81.514
311.04,-82.437
311.52,-82.489
312.01,-82.140
312.50,-83.784
312.99,-82.621
313.48,-84.868
313.96,-84.039
314.45,-84.631
314.94,-83.943
315.43,-83.538
315.92,-84.084
316.41,-85.551
316.89,-84.131
317.38,-82.261
317.87,-83.209
318.36,-82.784
318.85,-83.797
319.34,-83.547
319.82,-83.440
320.31,-85.459
320.80,-85.144
321.29,-84.767
321.78,-84.501
322.27,-84.818
322.75,-82.889
323.24,-84.447
323.73,-84.311
324.22,-83.718
324.71,-85.389
325.20,-84.695
325.68,-86.891
326.17,-84.322
326.66,-82.792
327.15,-82.727
327.64,-83.926
328.12,-84.605
328.61,-84.341
329.10,-82.247
329.59,-85.037
330.08,-83.032
330.57,-81.348
331.05,-82.067
331.54,-82.648
332.03,-83.409
332.52,-83.601
333.01,-83.613
333.50,-82.480
333.98,-85.253
334.47,-83.522
334.96,-84.138
335.45,-83.427
335.94,-84.657
336.43,-85.194
336.91,-83.870
337.40,-84.171
337.89,-85.012
338.38,-84.160
338.87,-84.894
339.36,-85.977
339.84,-87.220
340.33,-86.821
340.82,-85.387
341.31,-83.215
341.80,-84.942
342.29,-85.976
342.77,-84.553
343.26,-83.564
343.75,-85.309
344.24,-84.398
344.73,-85.613
345.21,-83.385
345.70,-84.427
346.19,-85.384
346.68,-85.512
347.17,-84.357
347.66,-83.498
348.14,-83.475
348.63,-82.387
349.12,-81.914
349.61,-83.757
350.10,-83.647
350.59,-82.869
351.07,-82.930
351.56,-84.017
352.05,-84.304
352.54,-85.228
353.03,-84.443
353.52,-85.539
354.00,-84.487
354.49,-84.779
354.98,-82.480
355.47,-83.570
355.96,-80.095
356.45,-79.285
356.93,-83.451
357.42,-83.837
357.91,-83.908
358.40,-83.123
358.89,-80.912
359.38,-83.879
359.86,-79.497
360.35,-80.915
360.84,-75.972
361.33,-80.091
361.82,-82.709
362.30,-80.888
362.79,-81.053
363.28,-81.632
363.77,-83.852
364.26,-82.007
364.75,-81.833
365.23,-80.991
365.72,-80.167
366.21,-81.037
366.70,-81.543
367.19,-80.602
367.68,-81.035
368.16,-81.751
368.65,-81.820
369.14,-81.473
369.63,-79.623
370.12,-81.220
370.61,-80.700
371.09,-80.141
371.58,-77.354
372.07,-77.951
372.56,-80.039
373.05,-80.715
373.54,-81.827
374.02,-81.679
374.51,-81.939
375.00,-81.949
375.49,-80.089
375.98,-82.315
376.46,-82.798
376.95,-84.082
377.44,-82.448
377.93,-83.697
378.42,-84.014
378.91,-85.098
379.39,-81.773
379.88,-82.625
380.37,-81.737
380.86,-79.514
381.35,-79.664
381.84,-81.433
382.32,-79.212
382.81,-79.941
383.30,-79.440
383.79,-78.628
384.28,-81.831
384.77,-81.247
385.25,-85.242
385.74,-84.384
386.23,-83.315
386.72,-84.212
387.21,-82.202
387.70,-83.401
388.18,-82.165
388.67,-81.336
389.16,-80.725
389.65,-81.810
390.14,-84.359
