Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.67,-92.382
1.35,-91.885
2.02,-91.556
2.69,-91.332
3.36,-91.039
4.04,-90.232
4.71,-90.246
5.38,-88.313
6.06,-86.892
6.73,-88.581
7.40,-88.658
8.07,-87.153
8.75,-85.731
9.42,-82.984
10.09,-81.494
10.77,-81.792
11.44,-82.368
12.11,-82.880
12.79,-81.241
13.46,-79.330
14.13,-78.061
14.80,-76.980
15.48,-78.433
16.15,-76.123
16.82,-83.281
17.50,-82.466
18.17,-82.446
18.84,-80.566
19.51,-79.195
20.19,-79.826
20.86,-79.615
21.53,-80.824
22.21,-82.591
22.88,-82.157
23.55,-81.185
24.22,-78.119
24.90,-77.548
25.57,-75.997
26.24,-74.236
26.92,-73.680
27.59,-72.894
28.26,-68.742
28.94,-64.617
29.61,-62.319
30.28,-73.313
30.95,-71.615
31.63,-64.099
32.30,-69.025
32.97,-72.054
33.65,-69.089
34.32,-65.115
34.99,-64.096
35.66,-69.163
36.34,-71.083
37.01,-71.881
37.68,-73.143
38.36,-73.948
39.03,-73.817
39.70,-71.632
40.37,-75.907
41.05,-74.676
41.72,-75.582
42.39,-73.262
43.07,-72.726
43.74,-73.084
44.41,-73.028
45.09,-72.553
45.76,-75.774
46.43,-75.282
47.10,-77.260
47.78,-75.975
48.45,-76.451
49.12,-74.359
49.80,-74.137
50.47,-75.180
51.14,-72.622
51.81,-72.953
52.49,-72.349
53.16,-72.991
53.83,-72.890
54.51,-72.890
55.18,-73.870
55.85,-76.443
56.52,-75.138
57.20,-72.539
57.87,-69.025
58.54,-67.412
59.22,-67.695
59.89,-75.598
60.56,-76.966
61.24,-77.887
61.91,-76.570
62.58,-76.527
63.25,-72.069
63.93,-70.308
64.60,-74.017
65.27,-75.351
65.95,-75.691
66.62,-73.332
67.29,-72.565
67.96,-71.919
68.64,-70.782
69.31,-69.839
69.98,-71.576
70.66,-73.919
71.33,-74.252
72.00,-74.079
72.67,-74.477
73.35,-75.847
74.02,-75.885
74.69,-74.056
75.37,-75.577
76.04,-76.285
76.71,-75.365
77.38,-75.289
78.06,-77.491
78.73,-74.729
79.40,-74.093
80.08,-72.329
80.75,-73.251
81.42,-74.548
82.10,-73.859
82.77,-73.219
83.44,-74.122
84.11,-74.790
84.79,-74.103
85.46,-74.270
86.13,-75.600
86.81,-75.401
87.48,-73.657
88.15,-72.303
88.82,-67.443
89.50,-73.872
90.17,-71.452
90.84,-72.226
91.52,-72.211
92.19,-71.814
92.86,-72.851
93.53,-64.703
94.21,-73.851
94.88,-74.721
95.55,-73.163
96.23,-75.093
96.90,-74.948
97.57,-74.671
98.25,-73.983
98.92,-74.240
99.59,-73.421
100.26,-74.184
100.94,-72.506
101.61,-73.066
102.28,-71.976
102.96,-71.499
103.63,-70.762
104.30,-70.069
104.97,-70.376
105.65,-71.375
106.32,-67.569
106.99,-70.316
107.67,-71.378
108.34,-70.157
109.01,-71.566
109.68,-71.752
110.36,-69.928
111.03,-70.556
111.70,-67.076
112.38,-68.584
113.05,-63.335
113.72,-69.067
114.40,-69.924
115.07,-66.847
115.74,-67.805
116.41,-67.041
117.09,-66.198
117.76,-64.724
118.43,-61.186
119.11,-57.503
119.78,-44.731
120.45,-53.105
121.12,-60.286
121.80,-63.364
122.47,-61.377
123.14,-66.709
123.82,-66.861
124.49,-69.469
125.16,-69.927
125.83,-69.692
126.51,-69.744
127.18,-70.090
127.85,-62.962
128.53,-67.286
129.20,-67.685
129.87,-66.888
130.55,-64.390
131.22,-62.388
131.89,-58.237
132.56,-46.622
133.24,-51.609
133.91,-55.841
134.58,-62.536
135.26,-65.469
135.93,-67.669
136.60,-68.170
137.27,-68.495
137.95,-68.802
138.62,-70.334
139.29,-69.417
139.97,-70.880
140.64,-69.070
141.31,-68.886
141.98,-68.918
142.66,-69.277
143.33,-69.378
144.00,-70.673
144.68,-68.742
145.35,-68.184
146.02,-69.231
146.69,-68.172
147.37,-67.304
148.04,-64.924
148.71,-63.495
149.39,-65.936
150.06,-64.085
150.73,-63.577
151.41,-64.284
152.08,-63.974
152.75,-64.346
153.42,-65.115
154.10,-64.555
154.77,-66.911
155.44,-66.825
156.12,-68.754
156.79,-68.412
157.46,-69.327
158.13,-69.487
158.81,-68.042
159.48,-60.153
160.15,-69.388
160.83,-68.806
161.50,-68.307
162.17,-70.078
162.84,-70.190
163.52,-70.166
164.19,-68.548
164.86,-70.629
165.54,-70.454
166.21,-67.937
166.88,-68.930
167.56,-68.590
168.23,-69.058
168.90,-70.484
169.57,-70.230
170.25,-70.222
170.92,-71.860
171.59,-70.944
172.27,-71.041
172.94,-68.133
173.61,-71.306
174.28,-73.110
174.96,-74.223
175.63,-74.433
176.30,-74.759
176.98,-72.915
177.65,-71.902
178.32,-70.818
178.99,-72.430
179.67,-72.075
180.34,-71.703
181.01,-75.082
181.69,-72.697
182.36,-73.660
183.03,-74.428
183.71,-73.297
184.38,-72.820
185.05,-71.949
185.72,-71.111
186.40,-71.979
187.07,-71.154
187.74,-72.255
188.42,-70.871
189.09,-72.439
189.76,-70.603
190.43,-73.423
191.11,-74.060
191.78,-73.971
192.45,-75.247
193.13,-74.809
193.80,-74.974
194.47,-76.921
195.14,-76.319
195.82,-76.062
196.49,-77.184
197.16,-76.290
197.84,-76.454
198.51,-77.335
199.18,-75.300
199.86,-73.499
200.53,-77.075
201.20,-76.480
201.87,-76.491
202.55,-76.747
203.22,-76.970
203.89,-75.581
204.57,-76.486
205.24,-75.408
205.91,-74.747
206.58,-74.554
207.26,-72.868
207.93,-62.678
208.60,-75.265
209.28,-75.636
209.95,-77.048
210.62,-77.449
211.29,-77.269
211.97,-75.517
212.64,-74.499
213.31,-71.632
213.99,-73.999
214.66,-75.027
215.33,-76.098
216.00,-76.651
216.68,-77.346
217.35,-77.966
218.02,-79.886
218.70,-78.547
219.37,-77.695
220.04,-76.257
220.72,-74.971
221.39,-73.836
222.06,-76.072
222.73,-74.543
223.41,-75.452
224.08,-77.210
224.75,-75.761
225.43,-75.802
226.10,-73.171
226.77,-77.394
227.44,-79.525
228.12,-78.879
228.79,-79.319
229.46,-77.894
230.14,-77.954
230.81,-76.477
231.48,-76.218
232.15,-74.976
232.83,-75.777
233.50,-76.416
234.17,-77.272
234.85,-78.106
235.52,-77.899
236.19,-76.422
236.87,-75.086
237.54,-74.527
238.21,-72.770
238.88,-65.722
239.56,-64.036
240.23,-62.766
240.90,-70.372
241.58,-71.619
242.25,-74.558
242.92,-74.000
243.59,-75.538
244.27,-75.797
244.94,-76.391
245.61,-77.466
246.29,-78.251
246.96,-77.172
247.63,-77.539
248.30,-77.426
248.98,-76.716
249.65,-77.085
250.32,-76.624
251.00,-72.658
251.67,-73.069
252.34,-71.163
253.02,-70.365
253.69,-74.378
254.36,-75.118
255.03,-75.864
255.71,-76.641
256.38,-76.918
257.05,-78.677
257.73,-77.860
258.40,-78.724
259.07,-79.946
259.74,-78.340
260.42,-78.846
261.09,-78.726
261.76,-79.395
262.44,-81.151
263.11,-80.336
263.78,-80.289
264.45,-81.040
265.13,-78.956
265.80,-76.211
266.47,-81.235
267.15,-73.021
267.82,-81.224
268.49,-81.206
269.17,-82.234
269.84,-81.931
270.51,-82.028
271.18,-80.484
271.86,-80.438
272.53,-81.240
273.20,-81.677
273.88,-83.051
274.55,-83.817
275.22,-82.670
275.89,-82.529
276.57,-82.305
277.24,-83.408
277.91,-81.704
278.59,-80.358
279.26,-72.147
279.93,-79.512
280.60,-80.170
281.28,-80.619
281.95,-81.003
282.62,-81.674
283.30,-81.342
283.97,-81.953
284.64,-84.304
285.31,-83.954
285.99,-83.624
286.66,-82.101
287.33,-82.422
288.01,-82.424
288.68,-81.628
289.35,-80.948
290.03,-81.968
290.70,-82.879
291.37,-83.572
292.04,-81.700
292.72,-80.553
293.39,-81.673
294.06,-82.896
294.74,-82.783
295.41,-81.493
296.08,-80.281
296.75,-80.258
297.43,-81.989
298.10,-79.881
298.77,-81.573
299.45,-81.648
300.12,-81.489
300.79,-81.224
301.46,-81.263
302.14,-81.401
302.81,-80.068
303.48,-80.906
304.16,-80.456
304.83,-79.192
305.50,-80.736
306.18,-81.422
306.85,-80.258
307.52,-81.310
308.19,-81.719
308.87,-82.229
309.54,-81.546
310.21,-81.066
310.89,-82.040
311.56,-79.797
312.23,-81.325
312.90,-81.784
313.58,-83.272
314.25,-83.031
314.92,-84.267
315.60,-83.358
316.27,-83.814
316.94,-83.203
317.61,-83.135
318.29,-82.377
318.96,-84.825
319.63,-83.859
320.31,-83.586
320.98,-83.849
321.65,-82.818
322.33,-83.096
323.00,-83.469
323.67,-83.714
324.34,-84.224
325.02,-82.996
325.69,-83.687
326.36,-82.858
327.04,-82.842
327.71,-83.535
328.38,-83.134
329.05,-84.266
329.73,-82.255
330.40,-82.481
331.07,-80.305
331.75,-82.214
332.42,-82.023
333.09,-82.838
333.76,-83.045
334.44,-83.921
335.11,-83.880
335.78,-82.885
336.46,-83.638
337.13,-83.450
337.80,-84.226
338.48,-84.228
339.15,-86.001
339.82,-85.994
340.49,-85.186
341.17,-85.375
341.84,-84.553
342.51,-84.034
343.19,-83.433
343.86,-82.379
344.53,-85.031
345.20,-82.493
345.88,-85.051
346.55,-84.857
347.22,-83.105
347.90,-83.392
348.57,-82.255
349.24,-81.623
349.91,-83.811
350.59,-82.519
351.26,-83.719
351.93,-83.507
352.61,-83.758
353.28,-84.516
353.95,-83.500
354.62,-82.411
355.30,-82.698
355.97,-79.011
356.64,-81.464
357.32,-82.485
357.99,-83.220
358.66,-81.035
359.34,-81.676
360.01,-79.492
360.68,-76.756
361.35,-81.106
362.03,-82.749
362.70,-82.041
363.37,-81.334
364.05,-80.689
364.72,-80.918
365.39,-80.557
366.06,-79.752
366.74,-79.928
367.41,-79.759
368.08,-80.733
368.76,-80.326
369.43,-81.347
370.10,-80.415
370.77,-80.687
371.45,-77.595
372.12,-76.672
372.79,-78.612
373.47,-81.206
374.14,-82.656
374.81,-83.056
375.49,-80.820
376.16,-83.435
376.83,-81.350
377.50,-82.471
378.18,-82.178
378.85,-81.557
379.52,-81.393
380.20,-80.229
380.87,-78.846
381.54,-79.794
382.21,-79.622
382.89,-79.879
383.56,-80.316
384.23,-80.302
384.91,-82.091
385.58,-83.399
386.25,-82.389
386.92,-82.935
