Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.49,-98.226
0.98,-97.945
1.46,-98.060
1.95,-97.377
2.44,-97.086
2.93,-97.163
3.42,-96.211
3.91,-95.754
4.39,-95.670
4.88,-95.634
5.37,-91.567
5.86,-91.024
6.35,-91.291
6.84,-92.851
7.32,-92.958
7.81,-93.068
8.30,-92.745
8.79,-89.566
9.28,-88.882
9.77,-88.819
10.25,-88.457
10.74,-86.590
11.23,-87.071
11.72,-88.003
12.21,-88.023
12.70,-86.880
13.18,-82.556
13.67,-84.847
14.16,-85.737
14.65,-85.634
15.14,-80.930
15.62,-81.560
16.11,-79.963
16.60,-86.676
17.09,-86.734
17.58,-86.646
18.07,-86.317
18.55,-86.603
19.04,-85.178
19.53,-83.803
20.02,-82.728
20.51,-85.375
21.00,-86.976
21.48,-87.413
21.97,-87.251
22.46,-87.390
22.95,-87.883
23.44,-86.409
23.93,-84.813
24.41,-82.538
24.90,-83.641
25.39,-81.583
25.88,-81.761
26.37,-78.162
26.86,-78.191
27.34,-76.846
27.83,-76.091
28.32,-74.500
28.81,-64.212
29.30,-72.865
29.79,-68.543
30.27,-76.232
30.76,-77.247
31.25,-76.911
31.74,-68.494
32.23,-75.744
32.71,-76.542
33.20,-76.645
33.69,-73.852
34.18,-71.722
34.67,-64.876
35.16,-73.879
35.64,-76.156
36.13,-75.262
36.62,-77.691
37.11,-77.963
37.60,-78.457
38.09,-77.395
38.57,-75.776
39.06,-74.564
39.55,-77.072
40.04,-79.869
40.53,-80.841
41.02,-79.388
41.50,-79.889
41.99,-79.100
42.48,-77.316
42.97,-74.273
43.46,-74.795
43.95,-76.150
44.43,-78.498
44.92,-77.170
45.41,-76.788
45.90,-80.923
46.39,-81.150
46.88,-82.026
47.36,-79.706
47.85,-75.176
48.34,-77.819
48.83,-79.198
49.32,-80.189
49.80,-78.428
50.29,-78.223
50.78,-77.578
51.27,-79.794
51.76,-77.075
52.25,-78.629
52.73,-76.820
53.22,-76.387
53.71,-78.171
54.20,-77.890
54.69,-77.560
55.18,-79.322
55.66,-78.848
56.15,-79.191
56.64,-80.830
57.13,-79.498
57.62,-75.314
58.11,-72.510
58.59,-71.032
59.08,-71.837
59.57,-74.681
60.06,-80.597
60.55,-80.861
61.04,-82.255
61.52,-82.839
62.01,-78.774
62.50,-80.030
62.99,-79.903
63.48,-72.209
63.96,-78.759
64.45,-78.913
64.94,-81.652
65.43,-80.060
65.92,-79.508
66.41,-77.887
66.89,-76.203
67.38,-76.076
67.87,-74.857
68.36,-76.935
68.85,-73.345
69.34,-74.432
69.82,-76.335
70.31,-76.139
70.80,-76.523
71.29,-78.363
71.78,-79.398
72.27,-77.981
72.75,-78.287
73.24,-78.617
73.73,-79.549
74.22,-77.896
74.71,-79.798
75.20,-81.737
75.68,-80.484
76.17,-80.066
76.66,-78.354
77.15,-78.337
77.64,-79.505
78.12,-79.684
78.61,-79.156
