Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-27 17:54:13.9,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:14.0,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:14.0,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.3,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.5,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.6,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.7,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.8,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.8,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:14.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:15.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:15.2,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:15.4,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:15.6,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:15.6,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:15.8,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:15.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:16.0,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:16.0,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:16.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:16.3,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:16.4,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:16.4,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:16.5,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:16.5,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:16.7,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:16.8,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:16.8,-0.0,25.6,96.8,25.2,15.8
2026-03-27 17:54:16.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:16.9,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:17.1,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:17.2,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:17.5,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:17.6,-0.0,25.6,96.8,25.1,15.8
2026-03-27 17:54:17.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:17.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.7,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.8,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:18.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:19.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:19.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:19.2,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:19.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:19.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:19.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:19.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.2,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.7,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.8,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:20.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:21.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:21.2,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:21.2,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:21.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:21.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:21.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:21.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.7,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.8,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:22.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:23.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:23.2,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:23.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:23.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:23.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:23.6,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:23.9,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.0,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.1,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.3,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.4,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.5,-0.0,25.6,96.8,25.1,15.9
2026-03-27 17:54:24.6,-0.0,25.6,96.8,25.1,15.9
