Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-17 19:22:54.4,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:54.4,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:54.5,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:54.5,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:54.6,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:54.9,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:56.0,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:56.4,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:56.4,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:56.5,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:56.5,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:56.6,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:57.0,0.0,25.3,96.9,24.9,29.9
2026-03-17 19:22:58.1,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:22:58.4,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:22:58.4,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:22:58.5,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:22:58.5,-0.0,25.3,96.9,25.0,29.9
2026-03-17 19:22:58.6,-0.0,25.3,96.9,25.0,29.9
2026-03-17 19:22:59.1,-0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:00.2,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:00.4,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:00.4,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:00.5,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:00.5,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:00.6,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:01.2,-0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:02.3,-0.0,25.3,96.9,24.9,29.9
2026-03-17 19:23:02.4,-0.0,25.3,96.9,24.9,29.9
2026-03-17 19:23:02.4,-0.0,25.3,96.9,24.9,29.9
2026-03-17 19:23:02.5,-0.0,25.3,96.9,24.9,29.9
2026-03-17 19:23:02.5,-0.0,25.3,96.9,24.9,29.9
2026-03-17 19:23:02.6,-0.0,25.3,96.9,24.9,29.9
2026-03-17 19:23:03.3,-0.0,25.3,96.9,24.9,29.9
2026-03-17 19:23:04.4,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:04.4,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:04.5,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:04.5,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:04.6,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:04.6,0.0,25.3,96.9,25.0,29.9
2026-03-17 19:23:05.7,-0.0,25.3,96.9,24.9,29.9
2026-03-17 19:23:06.4,-0.0,25.3,96.9,25.0,29.9
