Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.24,-95.881
0.49,-96.174
0.73,-95.580
0.98,-95.117
1.22,-95.783
1.46,-94.551
1.71,-94.807
1.95,-95.553
2.20,-94.151
2.44,-93.634
2.69,-93.402
2.93,-93.593
3.17,-93.086
3.42,-91.747
3.66,-92.778
3.91,-93.165
4.15,-93.360
4.39,-93.432
4.64,-93.287
4.88,-92.058
5.13,-90.811
5.37,-90.655
5.62,-90.085
5.86,-91.741
6.10,-91.193
6.35,-92.094
6.59,-89.858
6.84,-89.795
7.08,-92.146
7.32,-89.281
7.57,-91.526
7.81,-90.577
8.06,-91.922
8.30,-89.857
8.54,-90.726
8.79,-86.909
9.03,-88.240
9.28,-87.719
9.52,-87.025
9.77,-86.323
10.01,-88.452
10.25,-90.766
10.50,-88.186
10.74,-87.629
10.99,-88.178
11.23,-86.861
11.47,-87.058
11.72,-88.756
11.96,-88.428
12.21,-89.782
12.45,-88.636
12.70,-87.938
12.94,-84.128
13.18,-85.198
13.43,-86.406
13.67,-88.938
13.92,-88.551
14.16,-86.542
14.40,-85.093
14.65,-82.089
14.89,-84.770
15.14,-85.869
15.38,-81.843
15.62,-85.668
15.87,-85.942
16.11,-86.570
16.36,-89.298
16.60,-88.161
16.85,-88.884
17.09,-88.093
17.33,-85.811
17.58,-86.047
17.82,-87.401
18.07,-85.012
18.31,-86.131
18.55,-87.240
18.80,-85.164
19.04,-85.956
19.29,-85.059
19.53,-83.965
19.78,-84.208
20.02,-87.242
20.26,-86.972
20.51,-83.660
20.75,-85.505
21.00,-85.855
21.24,-87.832
21.48,-86.258
21.73,-85.983
21.97,-87.624
22.22,-85.878
22.46,-86.583
22.71,-86.004
22.95,-85.062
23.19,-84.685
23.44,-84.733
23.68,-84.777
23.93,-85.292
24.17,-83.636
24.41,-82.212
24.66,-84.809
24.90,-85.710
25.15,-82.603
25.39,-82.475
25.63,-82.841
25.88,-83.284
26.12,-83.608
26.37,-81.128
26.61,-80.572
26.86,-83.245
27.10,-80.374
27.34,-79.939
27.59,-81.391
27.83,-77.742
28.08,-78.405
28.32,-77.998
28.56,-72.101
28.81,-66.383
29.05,-73.511
29.30,-72.721
29.54,-63.621
29.79,-64.133
30.03,-72.551
30.27,-75.518
30.52,-76.215
30.76,-76.351
31.01,-77.673
31.25,-78.150
31.49,-77.473
31.74,-79.099
31.98,-80.771
32.23,-81.026
32.47,-74.481
32.71,-79.260
32.96,-77.518
33.20,-76.705
33.45,-74.331
33.69,-72.978
33.94,-73.007
34.18,-74.177
34.42,-71.823
34.67,-64.422
34.91,-74.626
35.16,-70.327
35.40,-75.482
35.64,-76.494
35.89,-79.634
36.13,-76.287
36.38,-76.957
36.62,-76.031
36.87,-77.986
37.11,-77.732
37.35,-78.771
37.60,-78.053
37.84,-79.425
38.09,-78.946
38.33,-76.381
38.57,-78.448
38.82,-77.200
39.06,-76.802
39.31,-81.023
39.55,-78.010
39.79,-75.092
40.04,-75.782
40.28,-78.366
40.53,-79.015
40.77,-78.348
41.02,-78.163
41.26,-80.126
41.50,-77.685
41.75,-76.378
41.99,-76.822
42.24,-76.361
42.48,-76.509
42.72,-76.136
42.97,-75.230
43.21,-74.396
43.46,-76.301
43.70,-77.738
43.95,-76.103
44.19,-75.802
44.43,-79.225
44.68,-75.190
44.92,-76.711
45.17,-75.699
45.41,-76.525
45.65,-76.858
45.90,-74.179
46.14,-76.186
46.39,-75.245
46.63,-76.210
46.88,-76.365
47.12,-76.036
47.36,-76.321
47.61,-73.617
47.85,-73.814
48.10,-77.906
48.34,-76.329
48.58,-78.193
48.83,-79.213
49.07,-76.146
49.32,-75.808
49.56,-74.126
49.80,-77.077
50.05,-76.830
50.29,-75.488
50.54,-77.000
50.78,-75.841
51.03,-77.219
51.27,-77.040
51.51,-76.747
51.76,-77.648
52.00,-74.077
52.25,-75.050
52.49,-74.980
52.73,-75.863
52.98,-74.440
53.22,-76.948
53.47,-76.116
53.71,-77.168
53.96,-76.066
54.20,-74.723
54.44,-72.897
54.69,-74.788
54.93,-75.297
55.18,-71.708
55.42,-74.004
55.66,-74.692
55.91,-76.333
56.15,-75.621
56.40,-73.513
56.64,-73.203
56.88,-72.943
57.13,-75.467
57.37,-74.063
57.62,-73.063
57.86,-71.048
58.11,-74.659
58.35,-73.065
58.59,-72.266
58.84,-75.597
59.08,-72.809
59.33,-72.207
59.57,-72.461
59.81,-73.729
60.06,-74.563
60.30,-74.690
60.55,-72.867
60.79,-72.096
61.04,-72.975
61.28,-74.235
61.52,-76.976
61.77,-74.277
62.01,-74.442
62.26,-72.363
62.50,-73.361
62.74,-73.579
62.99,-73.005
63.23,-74.314
63.48,-73.457
63.72,-74.050
63.96,-72.730
64.21,-74.327
64.45,-73.286
64.70,-74.790
64.94,-75.872
65.19,-72.024
65.43,-72.889
65.67,-73.279
65.92,-72.593
66.16,-73.384
66.41,-75.219
66.65,-73.674
66.89,-73.140
67.14,-75.512
67.38,-73.647
67.63,-72.633
67.87,-72.407
68.12,-72.572
68.36,-72.634
68.60,-72.635
68.85,-70.987
69.09,-73.090
69.34,-72.843
69.58,-72.342
69.82,-73.328
70.07,-71.640
70.31,-73.477
70.56,-74.351
70.80,-72.882
71.04,-75.041
71.29,-75.194
71.53,-74.043
71.78,-73.624
72.02,-73.572
72.27,-72.905
72.51,-69.828
72.75,-74.367
73.00,-73.751
73.24,-73.738
73.49,-72.751
73.73,-72.441
73.97,-73.137
74.22,-72.343
74.46,-72.969
74.71,-73.815
74.95,-74.506
75.20,-71.267
75.44,-73.167
75.68,-76.129
75.93,-72.124
76.17,-74.047
76.42,-73.743
76.66,-75.769
76.90,-72.438
77.15,-72.638
77.39,-71.747
77.64,-76.365
77.88,-72.518
78.12,-73.053
78.37,-72.634
78.61,-72.294
78.86,-73.401
79.10,-75.360
79.35,-71.455
79.59,-72.896
79.83,-74.239
80.08,-72.850
80.32,-73.612
80.57,-73.016
80.81,-70.569
81.05,-71.933
81.30,-74.551
81.54,-73.134
81.79,-71.712
82.03,-73.143
82.28,-73.124
82.52,-77.148
82.76,-75.069
83.01,-73.760
83.25,-73.174
83.50,-73.445
83.74,-73.026
83.98,-74.454
84.23,-72.960
84.47,-72.340
84.72,-71.357
84.96,-74.706
85.21,-74.434
85.45,-74.232
85.69,-73.623
85.94,-75.281
86.18,-74.971
86.43,-74.130
86.67,-72.117
86.91,-73.358
87.16,-72.669
87.40,-73.462
87.65,-76.610
87.89,-74.557
88.13,-74.307
88.38,-73.840
88.62,-72.594
88.87,-73.060
89.11,-74.480
89.36,-73.792
89.60,-72.213
89.84,-74.083
90.09,-73.177
90.33,-71.145
90.58,-74.235
90.82,-72.709
91.06,-71.897
91.31,-73.015
91.55,-73.429
91.80,-72.574
92.04,-73.500
92.29,-73.717
92.53,-73.574
92.77,-72.161
93.02,-71.275
93.26,-72.558
93.51,-75.111
93.75,-75.629
93.99,-74.846
94.24,-71.766
94.48,-71.894
94.73,-71.075
94.97,-71.092
95.21,-73.175
95.46,-72.471
95.70,-72.568
95.95,-75.211
96.19,-72.550
96.44,-73.433
96.68,-75.255
96.92,-75.396
97.17,-76.372
97.41,-72.368
97.66,-71.979
97.90,-72.916
98.14,-74.504
98.39,-75.867
98.63,-74.200
98.88,-75.025
99.12,-72.829
99.37,-72.030
99.61,-72.777
99.85,-76.533
100.10,-71.477
100.34,-73.644
100.59,-72.872
100.83,-74.383
101.07,-72.701
101.32,-74.678
101.56,-73.779
101.81,-75.038
102.05,-72.823
102.29,-74.053
102.54,-72.845
102.78,-73.589
103.03,-71.891
103.27,-72.307
103.52,-75.274
103.76,-73.287
104.00,-73.709
104.25,-73.742
104.49,-72.467
104.74,-72.348
104.98,-73.418
105.22,-74.468
105.47,-73.126
105.71,-74.589
105.96,-75.945
106.20,-73.958
106.45,-74.110
106.69,-72.215
106.93,-74.417
107.18,-72.983
107.42,-73.160
107.67,-73.495
107.91,-73.590
108.15,-74.494
108.40,-73.825
108.64,-72.203
108.89,-72.628
109.13,-73.513
109.38,-72.173
109.62,-72.575
109.86,-75.287
110.11,-71.945
110.35,-73.029
110.60,-72.431
110.84,-75.612
111.08,-75.416
111.33,-72.876
111.57,-71.890
111.82,-70.672
112.06,-72.640
112.30,-73.087
112.55,-72.077
112.79,-71.159
113.04,-73.118
113.28,-71.266
113.53,-72.910
113.77,-74.125
114.01,-71.749
114.26,-75.920
114.50,-72.556
114.75,-74.029
114.99,-74.157
115.23,-71.443
115.48,-74.351
115.72,-75.312
115.97,-73.651
116.21,-71.252
116.46,-72.551
116.70,-71.756
116.94,-73.117
117.19,-73.676
117.43,-72.419
117.68,-72.708
117.92,-71.437
118.16,-71.965
118.41,-73.271
118.65,-73.885
118.90,-70.514
119.14,-71.107
119.38,-72.430
119.63,-71.782
119.87,-70.523
120.12,-65.584
120.36,-70.970
120.61,-71.556
120.85,-72.848
121.09,-74.497
121.34,-75.737
121.58,-72.427
121.83,-74.002
122.07,-75.147
122.31,-74.008
122.56,-76.729
122.80,-75.478
123.05,-74.845
123.29,-74.741
123.54,-73.211
123.78,-72.595
124.02,-74.097
124.27,-73.643
124.51,-73.064
124.76,-72.169
125.00,-73.127
125.24,-73.752
125.49,-72.240
125.73,-73.338
125.98,-73.096
126.22,-71.964
126.46,-73.214
126.71,-71.253
126.95,-75.338
127.20,-72.939
127.44,-70.989
127.69,-72.205
127.93,-73.165
128.17,-72.722
128.42,-72.806
128.66,-72.744
128.91,-73.975
129.15,-75.489
129.39,-74.068
129.64,-73.406
129.88,-72.108
130.13,-73.762
130.37,-73.372
130.62,-74.510
130.86,-72.291
131.10,-74.255
131.35,-73.640
131.59,-75.191
131.84,-73.447
132.08,-72.857
132.32,-72.048
132.57,-74.181
132.81,-76.229
133.06,-73.227
133.30,-73.274
133.54,-71.666
133.79,-71.987
134.03,-72.045
134.28,-72.514
134.52,-72.778
134.77,-73.280
135.01,-71.211
135.25,-73.606
135.50,-73.992
135.74,-74.031
135.99,-71.870
136.23,-73.167
136.47,-73.035
136.72,-74.270
136.96,-71.867
137.21,-72.950
137.45,-72.964
137.70,-74.657
137.94,-75.707
138.18,-76.118
138.43,-73.897
138.67,-72.836
138.92,-73.677
139.16,-74.698
139.40,-73.150
139.65,-73.427
139.89,-74.665
140.14,-73.282
140.38,-73.222
140.62,-74.365
140.87,-73.055
141.11,-73.617
141.36,-72.133
141.60,-74.179
141.85,-72.934
142.09,-73.610
142.33,-71.554
142.58,-71.432
142.82,-73.440
143.07,-72.046
143.31,-72.256
143.55,-72.657
143.80,-72.154
144.04,-76.185
144.29,-73.070
144.53,-72.463
144.78,-76.678
145.02,-75.249
145.26,-72.678
145.51,-74.657
145.75,-73.234
146.00,-72.367
146.24,-74.090
146.48,-74.264
146.73,-71.584
146.97,-74.077
147.22,-72.603
147.46,-72.299
147.71,-73.497
147.95,-74.423
148.19,-72.781
148.44,-73.489
148.68,-73.499
148.93,-72.222
149.17,-72.741
149.41,-73.526
149.66,-75.729
149.90,-73.533
150.15,-73.654
150.39,-74.925
150.63,-75.365
150.88,-76.166
151.12,-72.684
151.37,-74.034
151.61,-71.175
151.86,-72.506
152.10,-73.581
152.34,-72.364
152.59,-73.757
152.83,-73.775
153.08,-74.508
153.32,-74.644
153.56,-72.024
153.81,-73.265
154.05,-72.561
154.30,-75.143
154.54,-73.808
154.79,-73.740
155.03,-74.351
155.27,-74.669
155.52,-73.164
