Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.67,-89.104
1.35,-89.123
2.02,-88.432
2.69,-88.804
3.36,-87.619
4.04,-86.866
4.71,-86.628
5.38,-85.687
6.06,-85.679
6.73,-86.401
7.40,-86.090
8.07,-84.847
8.75,-83.256
9.42,-83.751
10.09,-81.802
10.77,-81.758
11.44,-83.633
12.11,-82.995
12.79,-80.772
13.46,-80.323
14.13,-82.451
14.80,-80.159
15.48,-78.113
16.15,-81.737
16.82,-83.475
17.50,-82.957
18.17,-82.027
18.84,-80.235
19.51,-81.160
20.19,-81.098
20.86,-79.793
21.53,-81.281
22.21,-81.736
22.88,-82.318
23.55,-79.636
24.22,-80.976
24.90,-79.468
25.57,-79.257
26.24,-76.271
26.92,-74.924
27.59,-75.289
28.26,-73.449
28.94,-67.403
29.61,-67.519
30.28,-74.595
30.95,-74.040
31.63,-74.143
32.30,-71.949
32.97,-72.612
33.65,-70.022
34.32,-66.310
34.99,-65.310
35.66,-70.995
36.34,-73.516
37.01,-74.011
37.68,-75.028
38.36,-76.423
39.03,-76.631
39.70,-74.661
40.37,-76.570
41.05,-75.496
41.72,-74.890
42.39,-73.793
43.07,-72.989
43.74,-72.352
44.41,-72.770
45.09,-74.270
45.76,-73.440
46.43,-74.207
47.10,-74.715
47.78,-73.923
48.45,-74.584
49.12,-74.596
49.80,-74.019
50.47,-73.087
51.14,-73.497
51.81,-73.581
52.49,-74.353
53.16,-74.468
53.83,-71.985
54.51,-73.940
55.18,-73.248
55.85,-73.174
56.52,-72.242
57.20,-73.409
57.87,-72.230
58.54,-67.594
59.22,-68.765
59.89,-71.877
60.56,-73.144
61.24,-73.165
61.91,-71.044
62.58,-71.297
63.25,-72.399
63.93,-72.888
64.60,-72.312
65.27,-73.737
65.95,-73.358
66.62,-72.332
67.29,-70.940
67.96,-73.055
68.64,-72.579
69.31,-72.072
69.98,-72.434
70.66,-72.252
71.33,-72.030
72.00,-71.838
72.67,-72.719
73.35,-71.808
74.02,-72.269
74.69,-72.525
75.37,-72.837
76.04,-72.179
76.71,-74.740
77.38,-72.573
78.06,-72.252
78.73,-71.866
79.40,-73.010
80.08,-71.632
80.75,-72.423
81.42,-72.186
82.10,-72.413
82.77,-71.527
83.44,-71.439
84.11,-72.931
84.79,-72.296
85.46,-72.308
86.13,-71.927
86.81,-72.191
87.48,-72.043
88.15,-72.751
88.82,-72.923
