Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,1-Butanol
Formula,C4H9OH
Molecular Weight (g/mol),74.122
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.82
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.01
60.00,23.98
90.00,23.98
120.00,24.00
150.00,24.00
180.00,23.98
210.00,24.01
240.00,24.00
270.00,24.01
300.00,23.98
330.00,25.30
360.00,27.37
390.00,28.92
420.00,29.90
450.00,30.49
480.00,30.81
510.00,30.98
540.00,31.09
570.00,31.13
600.00,31.14
630.00,31.17
660.00,31.16
690.00,31.16
720.00,31.17
750.00,31.17
780.00,31.17
810.00,31.17
840.00,31.14
870.00,31.14
900.00,31.15
930.00,31.13
960.00,31.12
