Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0716
Water Temp (deg C),24.00
Room Temp (deg C),22.70
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.01
60.00,24.00
90.00,24.01
120.00,23.99
150.00,23.98
180.00,23.98
210.00,23.99
240.00,23.97
270.00,23.99
300.00,24.00
330.00,24.77
360.00,25.98
390.00,26.90
420.00,27.52
450.00,27.90
480.00,28.11
510.00,28.21
540.00,28.30
570.00,28.31
600.00,28.33
630.00,28.36
660.00,28.35
690.00,28.34
720.00,28.34
750.00,28.34
780.00,28.34
810.00,28.33
840.00,28.32
870.00,28.33
900.00,28.31
930.00,28.31
960.00,28.30
