Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.48
Water Volume (L),2.0
Wire Before (g),0.022
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,24.02
90.00,24.00
120.00,23.98
150.00,23.98
180.00,23.98
210.00,23.98
240.00,23.97
270.00,23.99
300.00,24.00
330.00,25.50
360.00,27.84
390.00,29.61
420.00,30.76
450.00,31.40
480.00,31.79
510.00,31.99
540.00,32.11
570.00,32.16
600.00,32.19
630.00,32.21
660.00,32.21
690.00,32.22
720.00,32.21
750.00,32.18
780.00,32.18
810.00,32.19
840.00,32.16
870.00,32.17
900.00,32.18
930.00,32.15
960.00,32.15
