Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.46
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.98
60.00,23.99
90.00,23.97
120.00,23.99
150.00,23.97
180.00,23.99
210.00,23.97
240.00,24.00
270.00,23.97
300.00,23.99
330.00,24.97
360.00,26.47
390.00,27.61
420.00,28.33
450.00,28.73
480.00,28.96
510.00,29.10
540.00,29.17
570.00,29.20
600.00,29.23
630.00,29.26
660.00,29.23
690.00,29.23
720.00,29.23
750.00,29.22
780.00,29.25
810.00,29.21
840.00,29.23
870.00,29.21
900.00,29.23
930.00,29.20
960.00,29.22
