Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),0.9192
Water Temp (deg C),24.00
Room Temp (deg C),23.32
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,24.02
90.00,23.99
120.00,24.02
150.00,24.01
180.00,23.99
210.00,23.99
240.00,23.99
270.00,24.01
300.00,24.01
330.00,24.56
360.00,25.44
390.00,26.13
420.00,26.59
450.00,26.84
480.00,27.00
510.00,27.10
540.00,27.16
570.00,27.17
600.00,27.17
630.00,27.20
660.00,27.19
690.00,27.19
720.00,27.21
750.00,27.17
780.00,27.18
810.00,27.17
840.00,27.19
870.00,27.18
900.00,27.18
930.00,27.17
960.00,27.18
