Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),23.57
Water Volume (L),2.0
Wire Before (g),0.021
Wire After (g),0.011
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,24.00
90.00,24.00
120.00,24.01
150.00,24.00
180.00,24.00
210.00,23.99
240.00,23.99
270.00,23.98
300.00,24.00
330.00,25.31
360.00,27.31
390.00,28.82
420.00,29.77
450.00,30.32
480.00,30.66
510.00,30.82
540.00,30.93
570.00,31.01
600.00,30.99
630.00,31.03
660.00,31.04
690.00,31.01
720.00,31.03
750.00,31.02
780.00,31.01
810.00,31.02
840.00,31.01
870.00,31.02
900.00,31.02
930.00,30.98
960.00,30.98
