Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Cyclobutanol
Formula,C4H7OH
Molecular Weight (g/mol),56.107
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),23.65
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.01
60.00,24.01
90.00,23.99
120.00,24.00
150.00,24.01
180.00,23.97
210.00,23.99
240.00,23.97
270.00,23.98
300.00,23.97
330.00,25.63
360.00,28.19
390.00,30.14
420.00,31.36
450.00,32.08
480.00,32.48
510.00,32.71
540.00,32.83
570.00,32.87
600.00,32.92
630.00,32.95
660.00,32.93
690.00,32.95
720.00,32.92
750.00,32.94
780.00,32.94
810.00,32.90
840.00,32.90
870.00,32.90
900.00,32.89
930.00,32.91
960.00,32.88
