Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Ethanol
Formula,C2H6O
Molecular Weight (g/mol),46.069
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),23.22
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,24.01
90.00,23.99
120.00,24.00
150.00,23.99
180.00,24.00
210.00,24.00
240.00,24.00
270.00,24.00
300.00,23.98
330.00,25.09
360.00,26.78
390.00,28.04
420.00,28.87
450.00,29.34
480.00,29.62
510.00,29.76
540.00,29.85
570.00,29.86
600.00,29.92
630.00,29.92
660.00,29.91
690.00,29.89
720.00,29.89
750.00,29.91
780.00,29.88
810.00,29.91
840.00,29.88
870.00,29.88
900.00,29.88
930.00,29.89
960.00,29.86
