Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0913
Water Temp (deg C),24.00
Room Temp (deg C),22.02
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,23.99
90.00,23.99
120.00,23.99
150.00,23.97
180.00,24.01
210.00,23.99
240.00,23.97
270.00,23.99
300.00,23.98
330.00,24.69
360.00,25.78
390.00,26.65
420.00,27.20
450.00,27.51
480.00,27.73
510.00,27.81
540.00,27.86
570.00,27.90
600.00,27.91
630.00,27.94
660.00,27.92
690.00,27.93
720.00,27.95
750.00,27.94
780.00,27.92
810.00,27.93
840.00,27.93
870.00,27.93
900.00,27.91
930.00,27.93
960.00,27.91
