Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),25.16
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,23.99
90.00,24.01
120.00,23.99
150.00,24.02
180.00,23.99
210.00,24.02
240.00,24.01
270.00,24.01
300.00,24.03
330.00,25.37
360.00,27.44
390.00,29.04
420.00,30.02
450.00,30.61
480.00,30.95
510.00,31.15
540.00,31.26
570.00,31.28
600.00,31.34
630.00,31.36
660.00,31.37
690.00,31.33
720.00,31.35
750.00,31.33
780.00,31.34
810.00,31.33
840.00,31.34
870.00,31.32
900.00,31.31
930.00,31.32
960.00,31.32
