Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.97
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.015
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.02
60.00,23.99
90.00,24.00
120.00,24.02
150.00,24.02
180.00,24.00
210.00,24.01
240.00,23.98
270.00,23.98
300.00,24.01
330.00,24.43
360.00,25.07
390.00,25.59
420.00,25.91
450.00,26.11
480.00,26.22
510.00,26.25
540.00,26.28
570.00,26.31
600.00,26.31
630.00,26.31
660.00,26.33
690.00,26.33
720.00,26.34
750.00,26.31
780.00,26.33
810.00,26.30
840.00,26.33
870.00,26.32
900.00,26.31
930.00,26.30
960.00,26.31
