Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),0.9985
Water Temp (deg C),24.00
Room Temp (deg C),25.30
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.017
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,24.00
90.00,24.00
120.00,23.99
150.00,24.02
180.00,24.00
210.00,23.98
240.00,24.01
270.00,24.01
300.00,24.00
330.00,24.70
360.00,25.81
390.00,26.66
420.00,27.23
450.00,27.55
480.00,27.76
510.00,27.84
540.00,27.90
570.00,27.96
600.00,27.97
630.00,27.98
660.00,27.98
690.00,27.98
720.00,27.96
750.00,27.97
780.00,27.97
810.00,27.98
840.00,27.98
870.00,27.98
900.00,27.96
930.00,27.99
960.00,27.97
