Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),24.45
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.01
60.00,23.99
90.00,23.98
120.00,24.01
150.00,24.00
180.00,23.98
210.00,23.99
240.00,23.99
270.00,24.00
300.00,24.00
330.00,25.46
360.00,27.75
390.00,29.51
420.00,30.58
450.00,31.25
480.00,31.58
510.00,31.80
540.00,31.90
570.00,31.96
600.00,32.01
630.00,32.03
660.00,32.00
690.00,32.02
720.00,32.00
750.00,31.98
780.00,32.00
810.00,31.98
840.00,31.99
870.00,32.00
900.00,31.99
930.00,31.99
960.00,31.95
