Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Sorbitol
Formula,C6H14O6
Molecular Weight (g/mol),182.170
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),25.69
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.01
60.00,24.01
90.00,24.01
120.00,24.00
150.00,24.03
180.00,24.01
210.00,24.01
240.00,24.01
270.00,24.02
300.00,24.01
330.00,24.63
360.00,25.59
390.00,26.29
420.00,26.73
450.00,27.01
480.00,27.14
510.00,27.23
540.00,27.28
570.00,27.31
600.00,27.34
630.00,27.34
660.00,27.35
690.00,27.33
720.00,27.31
750.00,27.33
780.00,27.32
810.00,27.33
840.00,27.33
870.00,27.32
900.00,27.31
930.00,27.32
960.00,27.31
