Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),1.0117
Water Temp (deg C),24.00
Room Temp (deg C),24.80
Water Volume (L),2.0
Wire Before (g),0.025
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,24.00
90.00,23.99
120.00,24.00
150.00,24.00
180.00,24.01
210.00,24.00
240.00,23.99
270.00,24.02
300.00,23.99
330.00,24.31
360.00,24.77
390.00,25.13
420.00,25.35
450.00,25.49
480.00,25.57
510.00,25.60
540.00,25.64
570.00,25.66
600.00,25.67
630.00,25.65
660.00,25.67
690.00,25.67
720.00,25.66
750.00,25.64
780.00,25.67
810.00,25.67
840.00,25.67
870.00,25.65
900.00,25.67
930.00,25.65
960.00,25.66
