Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,Sucrose
Formula,C12H22O11
Molecular Weight (g/mol),342.241
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.13
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,23.99
60.00,23.98
90.00,23.98
120.00,23.99
150.00,24.01
180.00,23.98
210.00,23.98
240.00,23.99
270.00,24.01
300.00,23.98
330.00,24.61
360.00,25.55
390.00,26.25
420.00,26.68
450.00,26.96
480.00,27.12
510.00,27.19
540.00,27.24
570.00,27.27
600.00,27.26
630.00,27.26
660.00,27.27
690.00,27.27
720.00,27.26
750.00,27.26
780.00,27.25
810.00,27.27
840.00,27.26
870.00,27.25
900.00,27.27
930.00,27.26
960.00,27.26
