Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),24.04
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.02
60.00,23.99
90.00,23.98
120.00,24.00
150.00,24.01
180.00,23.98
210.00,24.01
240.00,24.00
270.00,23.99
300.00,24.00
330.00,24.57
360.00,25.44
390.00,26.10
420.00,26.56
450.00,26.79
480.00,26.93
510.00,27.00
540.00,27.06
570.00,27.09
600.00,27.09
630.00,27.11
660.00,27.09
690.00,27.11
720.00,27.09
750.00,27.08
780.00,27.07
810.00,27.07
840.00,27.09
870.00,27.07
900.00,27.09
930.00,27.07
960.00,27.09
