Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),0.9527
Water Temp (deg C),24.00
Room Temp (deg C),24.71
Water Volume (L),2.0
Wire Before (g),0.029
Wire After (g),0.026
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,24.01
90.00,24.01
120.00,24.01
150.00,24.02
180.00,24.00
210.00,24.00
240.00,23.99
270.00,24.01
300.00,24.00
330.00,24.28
360.00,24.66
390.00,24.98
420.00,25.20
450.00,25.29
480.00,25.40
510.00,25.41
540.00,25.45
570.00,25.48
600.00,25.48
630.00,25.48
660.00,25.46
690.00,25.48
720.00,25.46
750.00,25.47
780.00,25.48
810.00,25.46
840.00,25.48
870.00,25.45
900.00,25.45
930.00,25.46
960.00,25.48
