Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),25.14
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.023
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,23.98
90.00,24.01
120.00,24.00
150.00,24.01
180.00,24.00
210.00,24.02
240.00,24.00
270.00,24.01
300.00,24.01
330.00,24.59
360.00,25.45
390.00,26.16
420.00,26.58
450.00,26.83
480.00,26.96
510.00,27.05
540.00,27.07
570.00,27.11
600.00,27.12
630.00,27.12
660.00,27.12
690.00,27.13
720.00,27.13
750.00,27.14
780.00,27.12
810.00,27.12
840.00,27.12
870.00,27.13
900.00,27.14
930.00,27.11
960.00,27.11
