Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #0001
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0566
Water Temp (deg C),24.00
Room Temp (deg C),23.65
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,24.01
90.00,24.00
120.00,23.97
150.00,24.01
180.00,23.99
210.00,23.98
240.00,23.97
270.00,23.98
300.00,24.00
330.00,24.27
360.00,24.74
390.00,25.09
420.00,25.30
450.00,25.46
480.00,25.54
510.00,25.56
540.00,25.61
570.00,25.61
600.00,25.61
630.00,25.63
660.00,25.61
690.00,25.60
720.00,25.62
750.00,25.62
780.00,25.60
810.00,25.62
840.00,25.60
870.00,25.61
900.00,25.62
930.00,25.62
960.00,25.62
