Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #1233
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),2.0000
Water Temp (deg C),24.00
Room Temp (deg C),22.03
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,24.00
30.00,24.00
60.00,24.01
90.00,24.00
120.00,23.98
150.00,23.98
180.00,23.98
210.00,23.99
240.00,23.97
270.00,23.99
300.00,24.00
330.00,24.55
360.00,25.47
390.00,26.12
420.00,26.55
450.00,26.78
480.00,26.96
510.00,27.00
540.00,27.07
570.00,27.08
600.00,27.09
630.00,27.08
660.00,27.09
690.00,27.10
720.00,27.10
750.00,27.09
780.00,27.09
810.00,27.08
840.00,27.07
870.00,27.08
900.00,27.06
930.00,27.07
960.00,27.08
